arxiv_id,title,target_level,cluster,screen_rank,screen_score,dijkstra_paper_rank,dijkstra_distance,path_relations,path_cost_recomputed,interpretation
2606.13790,Stochastic Path Sampler For Lattice Field Theory,C4,root_sps,1,132,1,0.0,,0.0,Dijkstra distance is navigation metadata; source evidence remains in the C4 ledger.
1904.12072,Flow-based generative models for Markov chain Monte Carlo in lattice field theory,C4,flow_lattice,6,28,2,0.15,backward_direct_citation,0.15,Dijkstra distance is navigation metadata; source evidence remains in the C4 ledger.
2003.06413,Equivariant flow-based sampling for lattice gauge theory,C4,gauge_flow,52,16,3,0.15,backward_direct_citation,0.15,Dijkstra distance is navigation metadata; source evidence remains in the C4 ledger.
2111.15141,Path Integral Sampler: a stochastic control approach for sampling,C4,path_control,102,15,4,0.15,backward_direct_citation,0.15,Dijkstra distance is navigation metadata; source evidence remains in the C4 ledger.
2201.08862,Stochastic normalizing flows as non-equilibrium transformations,C4,stochastic_flow,18,24,5,0.15,backward_direct_citation,0.15,Dijkstra distance is navigation metadata; source evidence remains in the C4 ledger.
2210.03139,Stochastic normalizing flows for lattice field theory,C4,stochastic_flow,7,28,6,0.15,backward_direct_citation,0.15,Dijkstra distance is navigation metadata; source evidence remains in the C4 ledger.
2211.01364,An optimal control perspective on diffusion-based generative modeling,C3,optimal_control,103,15,7,0.15,backward_direct_citation,0.15,Dijkstra distance is navigation metadata; source evidence remains in the C4 ledger.
2302.13834,Denoising Diffusion Samplers,C4,diffusion,97,18,8,0.15,backward_direct_citation,0.15,Dijkstra distance is navigation metadata; source evidence remains in the C4 ledger.
2309.17082,Diffusion Models as Stochastic Quantization in Lattice Field Theory,C4,diffusion_lattice,8,28,9,0.15,backward_direct_citation,0.15,Dijkstra distance is navigation metadata; source evidence remains in the C4 ledger.
2512.19575,Variational Autoregressive Networks Applied to $φ^4$ Field Theory Systems,C4,autoregressive_lattice,27,22,10,0.15,backward_direct_citation,0.15,Dijkstra distance is navigation metadata; source evidence remains in the C4 ledger.
2605.11199,Operator Spectroscopy of Trained Lattice Samplers,C4,author_context,71,13,11,0.15,backward_direct_citation,0.15,Dijkstra distance is navigation metadata; source evidence remains in the C4 ledger.
2310.11979,Out-of-equilibrium simulations to fight topological freezing,C4,nonequilibrium_lattice,9,28,13,0.8,declared_method_neighbor,0.8,Dijkstra distance is navigation metadata; source evidence remains in the C4 ledger.
2402.06561,Mitigating topological freezing using out-of-equilibrium simulations,C4,nonequilibrium_lattice,59,15,14,0.8,declared_method_neighbor,0.8,Dijkstra distance is navigation metadata; source evidence remains in the C4 ledger.
2604.10209,Scalable Generative Sampling and Multilevel Estimation for Lattice Field Theories Near Criticality,C4,critical_sampling,2,33,15,0.8,declared_method_neighbor,0.8,Dijkstra distance is navigation metadata; source evidence remains in the C4 ledger.
2607.08505,Diffusion Models for Sampling Near Criticality in Lattice Field Theories,C4,forward_neighbor,5,29,16,0.8,declared_method_neighbor,0.8,Dijkstra distance is navigation metadata; source evidence remains in the C4 ledger.
2101.08176,Introduction to Normalizing Flows for Lattice Field Theory,C3,flow_overview,20,23,17,0.827259,root_to_identifier_probe -> query_hit,0.827259,Dijkstra distance is navigation metadata; source evidence remains in the C4 ledger.
2311.03578,Generative Diffusion Models for Lattice Field Theory,C3,diffusion_lattice,24,22,25,1.05,paper_to_author -> author_to_paper,1.05,Dijkstra distance is navigation metadata; source evidence remains in the C4 ledger.
2201.13117,Continual Repeated Annealed Flow Transport Monte Carlo,C3,annealed_flow,12,27,32,1.2,backward_direct_citation -> paper_to_author -> author_to_paper,1.2,Dijkstra distance is navigation metadata; source evidence remains in the C4 ledger.
2412.00200,Scaling of Stochastic Normalizing Flows in $\mathrm{SU}(3)$ lattice gauge theory,C3,stochastic_flow,3,29,33,1.2,backward_direct_citation -> paper_to_author -> author_to_paper,1.2,Dijkstra distance is navigation metadata; source evidence remains in the C4 ledger.
2302.14082,Detecting and Mitigating Mode-Collapse for Flow-based Sampling of Lattice Field Theories,C3,failure_mode,14,25,106,1.823595,root_to_query -> query_hit,1.823595,Dijkstra distance is navigation metadata; source evidence remains in the C4 ledger.
2404.09723,Minimal Autocorrelation in Hybrid Monte Carlo simulations using Exact Fourier Acceleration,C3,evaluation,15,25,140,2.027776,root_to_query -> query_hit,2.027776,Dijkstra distance is navigation metadata; source evidence remains in the C4 ledger.
