evidence_id,paper_id,arxiv_id,evidence_type,source_url,pdf_path,anchor,supported_content,status,sha256
E-260613790-I,P001,2606.13790,identity,https://arxiv.org/abs/2606.13790,sources/pdfs/2606.13790.pdf,PDF p.1 + current arXiv metadata,"Stochastic Path Sampler For Lattice Field Theory (2026), authors: Shiyang Chen; Moxian Qian; Gert Aarts; Biagio Lucini; Kai Zhou",verified,cc1be38bb8a641a8118606fda7b5d375170720e3e88a9f0c35562f335f2bda17
E-260613790-P,P001,2606.13790,problem,https://arxiv.org/abs/2606.13790,sources/pdfs/2606.13790.pdf,PDF p.1 abstract,"Data-free sampling of an unnormalized lattice target near criticality, where ordinary chains develop long autocorrelation times.",full_text_manual,cc1be38bb8a641a8118606fda7b5d375170720e3e88a9f0c35562f335f2bda17
E-260613790-M,P001,2606.13790,method,https://arxiv.org/abs/2606.13790,sources/pdfs/2606.13790.pdf,PDF pp.4-8 Sec. 2,Learn paired forward and auxiliary backward Langevin paths by minimizing a path-space variational free energy / entropy-production upper bound.,full_text_manual,cc1be38bb8a641a8118606fda7b5d375170720e3e88a9f0c35562f335f2bda17
E-260613790-R,P001,2606.13790,result,https://arxiv.org/abs/2606.13790,sources/pdfs/2606.13790.pdf,"PDF pp.12-18 Sec. 3, Tables 1-4",Corrected SPS observables agree with HMC in the tested 2D phi4 systems and show shorter autocorrelation near the pseudocritical region.,full_text_manual,cc1be38bb8a641a8118606fda7b5d375170720e3e88a9f0c35562f335f2bda17
E-260613790-L,P001,2606.13790,limitation,https://arxiv.org/abs/2606.13790,sources/pdfs/2606.13790.pdf,PDF pp.12-13 Secs. 3.1-3.2; pp.19-21 discussion,"Uncorrected tails and multimodal regions deviate; finite network capacity, terminal diffusion and support coverage remain practical limits, and the reported timing is hardware/setup specific.",full_text_manual,cc1be38bb8a641a8118606fda7b5d375170720e3e88a9f0c35562f335f2bda17
E-211115141-I,P002,2111.15141,identity,https://arxiv.org/abs/2111.15141,sources/pdfs/2111.15141.pdf,PDF p.1 + current arXiv metadata,"Path Integral Sampler: a stochastic control approach for sampling (2022), authors: Zhang, Qinsheng and Chen, Yongxin",verified,e0bb88baf8cf19b54d29195a6765aaf113de42fa7b5aab2d11658fd959175ac8
E-211115141-P,P002,2111.15141,problem,https://arxiv.org/abs/2111.15141,sources/pdfs/2111.15141.pdf,PDF p.1 abstract,Construct an efficient sampler for an unnormalized target by controlling a stochastic path rather than fitting a terminal density alone.,full_text_manual,e0bb88baf8cf19b54d29195a6765aaf113de42fa7b5aab2d11658fd959175ac8
E-211115141-M,P002,2111.15141,method,https://arxiv.org/abs/2111.15141,sources/pdfs/2111.15141.pdf,PDF pp.4-8 method,Formulate sampling as a Schrodinger-bridge / stochastic optimal-control problem and learn a neural control for a reference diffusion.,full_text_manual,e0bb88baf8cf19b54d29195a6765aaf113de42fa7b5aab2d11658fd959175ac8
E-211115141-R,P002,2111.15141,result,https://arxiv.org/abs/2111.15141,sources/pdfs/2111.15141.pdf,PDF pp.9-18 experiments,"The learned path sampler is competitive with the reported MCMC, SMC and normalizing-flow baselines on its benchmark suite.",full_text_manual,e0bb88baf8cf19b54d29195a6765aaf113de42fa7b5aab2d11658fd959175ac8
E-211115141-L,P002,2111.15141,limitation,https://arxiv.org/abs/2111.15141,sources/pdfs/2111.15141.pdf,PDF pp.19-20 discussion,"Training overhead, time discretization and a suboptimal learned control can produce weight variance and residual bias if correction is omitted.",full_text_manual,e0bb88baf8cf19b54d29195a6765aaf113de42fa7b5aab2d11658fd959175ac8
E-230213834-I,P003,2302.13834,identity,https://arxiv.org/abs/2302.13834,sources/pdfs/2302.13834.pdf,PDF p.1 + current arXiv metadata,"Denoising Diffusion Samplers (2023), authors: Vargas, Francisco and Grathwohl, Will and Doucet, Arnaud",verified,a52b6fd8d6c19873d22a115d6eb050e78da70464dc2e25e4464cf8c3b0063321
E-230213834-P,P003,2302.13834,problem,https://arxiv.org/abs/2302.13834,sources/pdfs/2302.13834.pdf,PDF p.1 abstract,Sample unnormalized targets with a diffusion process without requiring target-distributed training data.,full_text_manual,a52b6fd8d6c19873d22a115d6eb050e78da70464dc2e25e4464cf8c3b0063321
E-230213834-M,P003,2302.13834,method,https://arxiv.org/abs/2302.13834,sources/pdfs/2302.13834.pdf,PDF pp.4-8 method,Train a denoising diffusion sampler through a path-space objective and construct tractable forward/reverse trajectory densities.,full_text_manual,a52b6fd8d6c19873d22a115d6eb050e78da70464dc2e25e4464cf8c3b0063321
E-230213834-R,P003,2302.13834,result,https://arxiv.org/abs/2302.13834,sources/pdfs/2302.13834.pdf,PDF pp.10-18 experiments,The method performs strongly on the paper's multimodal and Bayesian benchmarks relative to selected diffusion and SMC baselines.,full_text_manual,a52b6fd8d6c19873d22a115d6eb050e78da70464dc2e25e4464cf8c3b0063321
E-230213834-L,P003,2302.13834,limitation,https://arxiv.org/abs/2302.13834,sources/pdfs/2302.13834.pdf,"PDF final discussion, around pp.18-20","Optimization and diffusion discretization are sensitive, and the paper identifies smoothing/objective design as open improvements.",full_text_manual,a52b6fd8d6c19873d22a115d6eb050e78da70464dc2e25e4464cf8c3b0063321
E-230701050-I,P004,2307.01050,identity,https://arxiv.org/abs/2307.01050,sources/pdfs/2307.01050.pdf,PDF p.1 + current arXiv metadata,"Transport meets Variational Inference: Controlled Monte Carlo Diffusions (2024), authors: Vargas, Francisco and Padhy, Shreyas and Blessing, Denis and N \""u sken, Nikolas",verified,53ccf9eacc9476d81b885750959fb9792bc68f37d1f468c2d8d3f0013645f1a1
E-230701050-P,P004,2307.01050,problem,https://arxiv.org/abs/2307.01050,sources/pdfs/2307.01050.pdf,PDF p.1 abstract,Reduce the variance and instability of Monte Carlo diffusion samplers built from a fixed annealing process.,full_text_manual,53ccf9eacc9476d81b885750959fb9792bc68f37d1f468c2d8d3f0013645f1a1
