paper_id|arxiv_id|problem|problem_anchor|method|method_anchor|result|result_anchor|scope_boundary|scope_anchor|relation_to_root|relation_anchor|safe_sentence|prohibited_sentence|next_search
P001|2606.13790|Sample an unnormalized lattice target near criticality without target training data while ordinary Markov chains have long autocorrelations.|PDF p. 1 abstract.|Learn forward and auxiliary backward Langevin paths by a path-space variational free-energy or entropy-production objective, then correct independent trajectory proposals with extended-space IMH.|PDF pp. 1 and 3-8, abstract and Sec. 2.|For the reported 2D phi4 tests, corrected SPS agrees with HMC observables and reports a shorter autocorrelation in the critical region.|PDF p. 1 abstract and Sec. 3.|The autocorrelation units differ between IMH steps and HMC trajectories, so the paper does not establish a cost-matched total-efficiency comparison.|PDF p. 21, Sec. 4.|root|Current root PDF p. 1.|In the reported 2D phi4 benchmark, SPS plus IMH reproduces the reported HMC observables; a cost-matched comparison remains open.|SPS is universally faster than HMC.|Observable-level errors, autocorrelation, and GPU-hour comparison.
P002|1904.12072|Reduce critical slowing in lattice-field Markov-chain sampling.|PDF p. 1 abstract and Sec. I.|Train a normalizing-flow proposal and use an independence Metropolis-Hastings chain to correct it to the target distribution.|PDF p. 1, Secs. I-II.|Training improves the reported autocorrelation behavior and the paper compares with HMC and local Metropolis for 2D phi4.|PDF p. 1 abstract and Sec. III.|The concrete numerical demonstration is 2D phi4; higher-dimensional and QCD scaling are explicitly future-development questions.|PDF p. 1, end of Sec. I.|direct_root_citation|SPS reference [5], printed p. 29 (PDF page 30).|Flow proposals can be coupled to an independence MH correction to retain an exact target chain under the paper's stated conditions.|A learned flow removes critical slowing down in all lattice field theories.|Compare correction cost and proposal quality across volumes.
P003|2003.06413|Construct learned samplers that respect lattice-gauge symmetry and improve topological sampling near criticality.|PDF p. 1 abstract.|Use gauge-invariant-by-construction, invertible flow-based sampling algorithms.|PDF pp. 1-2.|In 2D U(1), the reported approach is orders of magnitude more efficient for topological quantities near critical points than HMC and Heat Bath.|PDF p. 1 abstract.|The stated demonstration is 2D U(1), so it does not by itself prove performance for general gauge groups or QCD.|PDF p. 1 abstract.|direct_root_citation|SPS reference [8], printed p. 30 (PDF page 31).|Gauge equivariance can be built into flow proposals rather than learned only from data.|This result proves the same efficiency gain for all gauge theories.|Check modern non-Abelian and volume-scaling results.
P005|2111.15141|Sample unnormalized densities through a controlled stochastic path rather than an explicit terminal density model.|PDF p. 1 abstract.|Cast a Schrodinger bridge as stochastic optimal control and use Girsanov-based importance weights to compensate suboptimal control and time discretization.|PDF p. 1 abstract and p. 2 Sec. 1.|The paper gives a Wasserstein-distance justification for suboptimal control and reports comparative experiments on several sampling tasks.|PDF p. 1 abstract.|This is a general-sampling paper rather than a lattice-field benchmark, so its relation to SPS is methodological rather than empirical equivalence.|PDF p. 1 abstract and p. 2 Sec. 1.|direct_root_citation|SPS reference [33], printed p. 31 (PDF page 32).|PIS is a path-space control neighbor that preserves an importance-weight correction route for an unnormalized target.|PIS and SPS are the same algorithm.|Compare their objectives and correction mechanisms on a common lattice benchmark.
P006|2201.08862|Connect generative sampling with nonequilibrium free-energy estimation in lattice field theory.|PDF p. 1 abstract.|Combine neural normalizing-flow layers with Monte Carlo updates and identify the framework with Jarzynski-based nonequilibrium transformations.|PDF p. 1 abstract and Sec. 1.|The article lays out an efficiency-optimization strategy and applications for this extended generative-model class.|PDF p. 1 abstract.|It establishes a conceptual and algorithmic bridge, not a direct SPS-versus-baseline performance comparison.|PDF p. 1 abstract.|direct_root_citation|SPS reference [19], printed p. 30 (PDF page 31).|Stochastic normalizing flows provide a documented Jarzynski and nonequilibrium bridge in the SPS method family.|The paper proves that every nonequilibrium learned sampler has the same performance.|Trace exactness, weights, and numerical costs for each member of the family.
P008|2210.03139|Describe hybrid stochastic normalizing flows for sampling Boltzmann distributions in lattice field theory.|PDF p. 1 unnumbered abstract.|Combine normalizing flows with Monte Carlo updates in a framework related to Jarzynski equality and nonequilibrium statistical mechanics.|PDF pp. 1-2.|The proceeding presents construction details and 2D phi4 applications.|PDF p. 1 abstract and p. 2 Sec. 2.|This is a short proceeding and should be used as an implementation account, with detailed claims checked against the underlying article.|PDF pp. 1-2.|direct_root_citation|SPS reference [20], printed p. 30 (PDF page 31).|The SNF literature explicitly treats deterministic flow layers and stochastic updates as one hybrid sampler family.|This short proceeding establishes a general compute advantage.|Read the longer JHEP paper for detailed quantitative claims.
P010|2302.13834|Sample approximately from unnormalized targets and estimate their normalizing constants through diffusion-style paths.|PDF p. 1 abstract.|Approximate the reverse of a target-to-Gaussian diffusion and optimize an extended KL or ELBO using an auxiliary stationary reference process.|PDF pp. 1-2.|The paper gives theoretical guarantees discussed for DDS and compares sampling methods on challenging non-lattice tasks.|PDF p. 1 abstract and p. 2 Sec. 1.|DDS is an adjacent unnormalized-target method, not a lattice-field result in this paper.|PDF p. 1 abstract.|direct_root_citation|SPS reference [34], printed p. 31 (PDF page 32).|DDS is a relevant diffusion and path-measure comparison point for unnormalized targets, not evidence of lattice performance.|DDS validates SPS on lattice phi4.|Compare target correction and objective form before transferring a claim to lattice systems.
P012|2309.17082|Relate generative diffusion models to stochastic quantization and test them as global lattice samplers.|PDF p. 1 abstract.|Approximate reverse Langevin stochastic dynamics to move from a prior toward the lattice target distribution.|PDF pp. 1 and 6-9, Secs. 2-3.|The reported 2D phi4 diffusion sampler reduces autocorrelation in the critical region.|PDF p. 1 abstract and Sec. 4.|The claim is tied to the tested 2D phi4 setup and the reported model configuration.|PDF p. 1 abstract.|direct_root_citation|SPS reference [25], printed p. 31 (PDF page 32).|This paper is a lattice diffusion and stochastic-quantization predecessor relevant to SPS's Langevin-path framing.|Diffusion sampling is automatically exact without a correction analysis.|Compare the sampler's exactness treatment and independent-proposal structure.
P013|2310.11979|Mitigate long topological autocorrelations in lattice gauge simulations.|PDF p. 1 abstract and p. 2 Sec. 1.|Use out-of-equilibrium evolutions with open-boundary starting configurations, gradually restore periodic boundaries, and apply a Jarzynski-inspired reweighting-like correction.|PDF pp. 1-2.|The contribution reports tests in 2D CP(N-1) and a comparison with parallel tempering on boundary conditions.|PDF p. 1 abstract and p. 2 Sec. 1.|It is a conference contribution on CP(N-1), and its link to SPS is a shared nonequilibrium family rather than a verified direct root citation.|PDF p. 1 abstract.|method_adjacent|Current PDF p. 1; no direct root-reference assertion made.|Out-of-equilibrium boundary protocols are a nearby route for addressing topological freezing with a correction-like estimator.|This is a direct SPS baseline on the same model.|Check the later full paper and matched-cost comparisons.
P015|2402.06561|Mitigate topological freezing using out-of-equilibrium lattice Monte Carlo simulations.|PDF p. 1 abstract.|Use a Jarzynski-motivated out-of-equilibrium protocol and assess its ESS, KL, topological susceptibility, autocorrelation, and efficiency.|PDF p. 1 contents and Secs. 2-3.|For 2D CP(N-1), the reported performance is comparable to the cited parallel-tempering-on-boundary-conditions baseline.|PDF p. 1 abstract.|The article presents a non-ML protocol and says machine-learning combinations are future work; it is not evidence that an SNF or SPS has been tested there.|PDF p. 1 abstract.|method_adjacent|Current PDF p. 1; no direct root-reference assertion made.|This work supplies a concrete nonequilibrium evaluation template beyond ESS alone.|SPS has already been shown to solve topological freezing by this paper.|Use its observable and cost diagnostics as a comparison template.
