QueryID,Rank,SourceID,DOI,Title,Year,CitedByCount,PrimaryURL
F01,1,https://openalex.org/W2132353975,https://doi.org/10.1137/1113026,The Description of a Random Field by Means of Conditional Probabilities and Conditions of Its Regularity,1968,709,https://doi.org/10.1137/1113026
F01,2,https://openalex.org/W2941443959,https://doi.org/10.1103/physrevd.100.034515,Flow-based generative models for Markov chain Monte Carlo in lattice field theory,2019,228,https://doi.org/10.1103/physrevd.100.034515
F01,3,https://openalex.org/W2090251478,https://doi.org/10.1214/aoap/1019487508,Analysis of a nonreversible Markov chain sampler,2000,284,https://doi.org/10.1214/aoap/1019487508
F01,4,https://openalex.org/W2013164703,https://doi.org/10.1214/ss/1028905934,Simulating normalizing constants: from importance sampling to bridge sampling to path sampling,1998,992,https://doi.org/10.1214/ss/1028905934
F01,5,https://openalex.org/W3042241440,https://doi.org/10.1103/physrevlett.126.032001,Estimation of Thermodynamic Observables in Lattice Field Theories with Deep Generative Models,2021,117,https://doi.org/10.1103/physrevlett.126.032001
F01,6,https://openalex.org/W2129999749,https://doi.org/10.1561/2200000013,An Introduction to Conditional Random Fields,2012,529,https://doi.org/10.1561/2200000013
F01,7,https://openalex.org/W4396748050,https://doi.org/10.1007/jhep05(2024)060,Diffusion models as stochastic quantization in lattice field theory,2024,23,https://doi.org/10.1007/jhep05(2024)060
F01,8,https://openalex.org/W2055649245,https://doi.org/10.1137/1115049,Prescribing a System of Random Variables by Conditional Distributions,1970,606,https://doi.org/10.1137/1115049
F01,9,https://openalex.org/W2165991407,https://doi.org/10.1111/1467-9868.00301,Perfect Slice Samplers,2001,79,https://doi.org/10.1111/1467-9868.00301
F01,10,https://openalex.org/W2943121181,https://doi.org/10.5465/annals.2017.0099,Topic Modeling in Management Research: Rendering New Theory from Textual Data,2019,594,https://doi.org/10.5465/annals.2017.0099
F01,11,https://openalex.org/W2033637727,https://doi.org/10.1214/aop/1024404276,Stochastic models of interacting systems,1997,94,https://doi.org/10.1214/aop/1024404276
F01,12,https://openalex.org/W4389674942,https://doi.org/10.21468/scipostphys.15.6.238,Learning lattice quantum field theories with equivariant continuous flows,2023,35,https://doi.org/10.21468/scipostphys.15.6.238
F01,13,https://openalex.org/W7164973951,,Stochastic Path Sampler For Lattice Field Theory,2026,0,https://arxiv.org/abs/2606.13790
F01,14,https://openalex.org/W7164828431,https://doi.org/10.48550/arxiv.2606.13790,Stochastic Path Sampler For Lattice Field Theory,2026,0,https://doi.org/10.48550/arxiv.2606.13790
F01,15,https://openalex.org/W2122809012,https://doi.org/10.1198/jcgs.2009.06148,Bayesian Inference in Hidden Markov Random Fields for Binary Data Defined on Large Lattices,2009,66,https://doi.org/10.1198/jcgs.2009.06148
F01,16,https://openalex.org/W2566971417,https://doi.org/10.1016/j.physrep.2017.07.007,Random walks and diffusion on networks,2017,648,https://doi.org/10.1016/j.physrep.2017.07.007
F01,17,https://openalex.org/W4311845634,https://doi.org/10.22323/1.430.0005,Stochastic normalizing flows for lattice field theory,2022,9,https://doi.org/10.22323/1.430.0005
F01,18,https://openalex.org/W4327938911,https://doi.org/10.1103/physrevd.107.l051504,Learning trivializing gradient flows for lattice gauge theories,2023,32,https://doi.org/10.1103/physrevd.107.l051504
F01,19,https://openalex.org/W2055201760,https://doi.org/10.1109/access.2014.2302442,Sampling-Based Robot Motion Planning: A Review,2014,784,https://doi.org/10.1109/access.2014.2302442
F01,20,https://openalex.org/W4389750777,https://doi.org/10.2172/2229681,"Quantum Optimization: Potential, Challenges, and the Path Forward",2023,64,https://doi.org/10.2172/2229681
F01,21,https://openalex.org/W4288702334,https://doi.org/10.1103/physrevd.106.014514,Flow-based sampling in the lattice Schwinger model at criticality,2022,35,https://doi.org/10.1103/physrevd.106.014514
