EdgeID,SourceID,TargetID,EdgeType,DirectlyCited,EvidenceID,RelationBasis,Confidence,HumanReviewStatus,PublicGraphStatus
E001,P_ROOT,BIB_01,direct_citation,yes,ROOT-BIB-01,Live TeX citation at line 72; bibliography ref. 1 (rezende2015variational).,high,reviewed,hold
E002,P_ROOT,BIB_02,direct_citation,yes,ROOT-BIB-02,Live TeX citation at line 72; bibliography ref. 2 (chen2018neural).,high,reviewed,hold
E003,P_ROOT,BIB_03,direct_citation,yes,ROOT-BIB-03,Live TeX citation at line 72; bibliography ref. 3 (Wu:2019elz).,high,reviewed,hold
E004,P_ROOT,P_2005_04857,direct_citation,yes,ROOT-BIB-04,Live TeX citation at line 72; bibliography ref. 4 (Wang:2020hji).,high,reviewed,hold
E005,P_ROOT,P_1904_12072,direct_citation,yes,ROOT-BIB-05,Live TeX citation at line 72; bibliography ref. 5 (Albergo_2019).,high,reviewed,show
E006,P_ROOT,P_2007_07115,direct_citation,yes,ROOT-BIB-06,Live TeX citation at line 72; bibliography ref. 6 (Nicoli:2020njz).,high,reviewed,show
E007,P_ROOT,P_2106_05934,direct_citation,yes,ROOT-BIB-07,Live TeX citation at line 72; bibliography ref. 7 (albergo2021flow).,high,reviewed,show
E008,P_ROOT,P_2003_06413,direct_citation,yes,ROOT-BIB-08,Live TeX citation at line 72; bibliography ref. 8 (Kanwar_2020).,high,reviewed,show
E009,P_ROOT,BIB_09,direct_citation,yes,ROOT-BIB-09,Live TeX citation at line 72; bibliography ref. 9 (Boyda_2021).,high,reviewed,hold
E010,P_ROOT,P_2202_11712,direct_citation,yes,ROOT-BIB-10,Live TeX citation at line 72; bibliography ref. 10 (Albergo_2022).,high,reviewed,show
E011,P_ROOT,P_2512_19575,direct_citation,yes,ROOT-BIB-11,Live TeX citation at line 72; bibliography ref. 11 (Qian:2025VANphi4).,high,reviewed,show
E012,P_ROOT,P_2207_00283,direct_citation,yes,ROOT-BIB-12,Live TeX citation at line 73; bibliography ref. 12 (Gerdes_2023).,high,reviewed,show
E013,P_ROOT,P_2110_02673,direct_citation,yes,ROOT-BIB-13,Live TeX citation at line 73; bibliography ref. 13 (dehaan2021scalingmachinelearningquantum).,high,reviewed,show
E014,P_ROOT,P_2502_02127,direct_citation,yes,ROOT-BIB-14,Live TeX citation at line 74; bibliography ref. 14 (Chen:2025kfo).,high,reviewed,show
E015,P_ROOT,P_2107_00734,direct_citation,yes,ROOT-BIB-15,Live TeX citation at line 74; bibliography ref. 15 (hackett2025flowbasedsamplingmultimodalextendedmode).,high,reviewed,show
E016,P_ROOT,P_2211_03470,direct_citation,yes,ROOT-BIB-16,Live TeX citation at line 75; bibliography ref. 16 (Chen:2022ytr).,high,reviewed,hold
E017,P_ROOT,P_2303_15136,direct_citation,yes,ROOT-BIB-17,Live TeX citation at line 75; bibliography ref. 17 (Zhou:2023pti).,high,reviewed,hold
E018,P_ROOT,BIB_18,direct_citation,yes,ROOT-BIB-18,Live TeX citation at line 75; bibliography ref. 18 (wu2020stochastic).,high,reviewed,hold
E019,P_ROOT,P_2201_08862,direct_citation,yes,ROOT-BIB-19,Live TeX citation at line 75; bibliography ref. 19 (Caselle_2022).,high,reviewed,show
E020,P_ROOT,P_2210_03139,direct_citation,yes,ROOT-BIB-20,Live TeX citation at line 75; bibliography ref. 20 (caselle2022stochasticnormalizingflowslattice).,high,reviewed,show
E021,P_ROOT,P_2412_19109,direct_citation,yes,ROOT-BIB-21,Live TeX citation at line 75; bibliography ref. 21 (caselle2025stochasticnormalizingflowseffective).,high,reviewed,hold
E022,P_ROOT,P_2409_15937,direct_citation,yes,ROOT-BIB-22,Live TeX citation at line 75; bibliography ref. 22 (Caselle_2025).,high,reviewed,hold
E023,P_ROOT,P_1810_12879,direct_citation,yes,ROOT-BIB-23,Live TeX citation at line 79; bibliography ref. 23 (Zhou:2018ill).,high,reviewed,hold
E024,P_ROOT,BIB_24,direct_citation,yes,ROOT-BIB-24,Live TeX citation at line 79; bibliography ref. 24 (song2019generative).,high,reviewed,hold
E025,P_ROOT,P_2309_17082,direct_citation,yes,ROOT-BIB-25,Live TeX citation at line 79; bibliography ref. 25 (Wang:2023exq).,high,reviewed,show
