claim_id,claim,allowed_short_sentence,evidence_ids,boundary,status
C01,SPS learns paired forward and auxiliary backward stochastic paths with a path-space variational objective.,SPS learns a low-irreversibility path between prior and target.,E-260613790-M,This is the SPS v1 formulation; do not replace it with terminal-density KL training.,confirmed
C02,SPS follows learned independent path proposals with extended-space independence Metropolis-Hastings.,The learned SPS proposal is followed by an exactness gate.,E-260613790-M;E-260613790-R,Do not call uncorrected SPS samples exact.,confirmed
C03,"The nearest method lineage combines path-space stochastic control, diffusion samplers and nonequilibrium transport.",SPS sits at the intersection of path-space control and nonequilibrium transport.,E-211115141-M;E-230213834-M;E-230701050-M;E-241002711-M;E-260613790-M,"This is a checked synthesis, not a claim that the algorithms are identical.",confirmed
C04,"The lattice lineage repeatedly pairs learned proposals with Metropolis, reweighting or Jarzynski correction.",Learned lattice proposals are repeatedly paired with an explicit correction mechanism.,E-190412072-M;E-200306413-M;E-210605934-M;E-220108862-M;E-220803832-M,Shared correction logic does not imply equal scaling or performance.,confirmed
C05,Diffusion models do not automatically remove critical slowing; architecture and locality control the outcome in the checked theory study.,Diffusion helps only when architecture and physics match the slow modes.,E-260512597-R;E-260512597-L;E-260708505-L,"The quadratic-to-logarithmic result is controlled in the Gaussian O(n to infinity) setting, not universally.",confirmed
C06,"Cross-volume scores, coarse-to-fine factorization and localized defect maps are distinct scale-transfer routes.","Transfer, multiscale structure and locality are three distinct routes to larger lattices.",E-260708505-R;E-260410209-R;E-260120708-R,Each result is benchmark-specific; production-QCD scaling is not established.,confirmed
C07,"A fair efficiency claim must include training, generation, correction and observable-level uncertainty.","Efficiency means physical error per total compute, not a single ESS number.",E-221107541-R;E-221107541-L;E-190412072-L;E-260410209-R;E-240918861-L,The literature does not yet supply one uniform cross-paper cost benchmark.,confirmed
C08,"Aggregate loss or ESS can hide support, tail, multimodal and infrared errors.",A sampler can look good globally and still miss the modes that matter.,E-210700734-R;E-210700734-L;E-260708505-R;E-260613790-L,Diagnostics expose risk; they do not by themselves correct it.,confirmed
C09,"Realistic lattice-QCD evidence remains sparse despite several gauge, fermion and 4D SU(3) demonstrations.","The field is active, but production-scale lattice-QCD evidence is still sparse.",E-260412416-R;E-260412416-L;E-220803832-L;E-260120708-R,Do not describe these methods as mature at production QCD scale.,confirmed
C10,"The defensible SPS follow-ups close correctness, scaling and physics-cost loops together.","The next SPS step is to close correctness, scaling and physics-cost loops together.",E-260613790-L;E-210700734-L;E-260512597-L;E-260708505-L;E-260410209-L;E-210605934-L,"These are literature-grounded directions, not SPS results already achieved.",confirmed
