query_id,raw_hits,status,new_facet,next_action,raw_artifact
Q01,25,success_from_current_raw,identity,deduplicate_and_score,sources/metadata/Q01
Q02,20,success_from_current_raw,identity,deduplicate_and_score,sources/metadata/Q02
Q03,1,success_from_current_raw,identity,deduplicate_and_score,sources/metadata/Q03
Q04,58,success_from_current_raw,lineage,deduplicate_and_score,root_bibliography.csv
Q05,0,success_from_current_raw,forward,deduplicate_and_score,sources/metadata/Q05
Q06,6,success_from_current_raw,author,deduplicate_and_score,sources/metadata/Q06
Q07,0,success_from_current_raw,author,deduplicate_and_score,sources/metadata/Q07
Q08,7,success_from_current_raw,author,deduplicate_and_score,sources/metadata/Q08
Q09,0,success_from_current_raw,author,deduplicate_and_score,sources/metadata/Q09
Q10,25,success_from_current_raw,author,deduplicate_and_score,sources/metadata/Q10
Q11,25,success_from_current_raw,failure,deduplicate_and_score,sources/metadata/Q11
Q12,25,success_from_current_raw,failure,deduplicate_and_score,sources/metadata/Q12
Q13,25,success_from_current_raw,mechanism,deduplicate_and_score,sources/metadata/Q13
Q14,25,success_from_current_raw,mechanism,deduplicate_and_score,sources/metadata/Q14
Q15,25,success_from_current_raw,objective,deduplicate_and_score,sources/metadata/Q15
Q16,25,success_from_current_raw,objective,deduplicate_and_score,sources/metadata/Q16
Q17,25,success_from_current_raw,correction,deduplicate_and_score,sources/metadata/Q17
Q18,25,success_from_current_raw,adjacent_method,deduplicate_and_score,sources/metadata/Q18
Q19,25,success_from_current_raw,adjacent_method,deduplicate_and_score,sources/metadata/Q19
Q20,25,success_from_current_raw,adjacent_method,deduplicate_and_score,sources/metadata/Q20
Q21,25,success_from_current_raw,adjacent_method,deduplicate_and_score,sources/metadata/Q21
Q22,25,success_from_current_raw,adjacent_method,deduplicate_and_score,sources/metadata/Q22
Q23,25,success_from_current_raw,failure,deduplicate_and_score,sources/metadata/Q23
Q24,25,success_from_current_raw,extension,deduplicate_and_score,sources/metadata/Q24
Q25,1,success_from_current_raw,objective,deduplicate_and_score,sources/metadata/Q25
Q26,2,success_from_current_raw,objective,deduplicate_and_score,sources/metadata/Q26
Q27,2,success_from_current_raw,correction,deduplicate_and_score,sources/metadata/Q27
Q28,25,success_from_current_raw,adjacent_method,deduplicate_and_score,sources/metadata/Q28
Q29,4,success_from_current_raw,adjacent_method,deduplicate_and_score,sources/metadata/Q29
Q30,1,success_from_current_raw,adjacent_method,deduplicate_and_score,sources/metadata/Q30
Q31,25,success_from_current_raw,correction,deduplicate_and_score,sources/metadata/Q31
Q32,25,success_from_current_raw,failure,deduplicate_and_score,sources/metadata/Q32
Q33,25,success_from_current_raw,extension,deduplicate_and_score,sources/metadata/Q33
Q34,20,success_from_current_raw,evaluation,deduplicate_and_score,sources/metadata/Q34
Q35,20,success_from_current_raw,identity,deduplicate_and_score,sources/metadata/Q35
Q36,25,success_from_current_raw,lineage,deduplicate_and_score,sources/metadata/Q36
