edge_id,source_arxiv_id,target_arxiv_id,relation_type,relation_basis,evidence_id,confidence,human_review_status
R001,2111.15141,2606.13790,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1751: International Conference on Learning Representations (ICLR), 2022 [2111.15141].",E-260613790-I,high,identifier_context_checked
R002,2302.13834,2606.13790,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1753: Conference on Learning Representations (ICLR), 2023 [2302.13834].",E-260613790-I,high,identifier_context_checked
R003,2307.01050,2606.13790,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1760: (ICLR), 2024 [2307.01050].",E-260613790-I,high,identifier_context_checked
R004,2410.02711,2606.13790,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 1762: 2410.02711.,E-260613790-I,high,identifier_context_checked
R005,2409.15937,2606.13790,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1723: effective string using Stochastic Normalizing Flows, JHEP 02 (2025) 090 [2409.15937].",E-260613790-I,high,identifier_context_checked
R006,2412.19109,2606.13790,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 1721: 2412.19109.,E-260613790-I,high,identifier_context_checked
R007,2210.03139,2606.13790,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1719: theory, PoS LATTICE2022 (2023) 005 [2210.03139].",E-260613790-I,high,identifier_context_checked
R008,2201.08862,2606.13790,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1717: non-equilibrium transformations, JHEP 07 (2022) 015 [2201.08862].",E-260613790-I,high,identifier_context_checked
R009,2502.05504,2606.13790,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1738: lattice gauge theory, JHEP 03 (2026) 111 [2502.05504].",E-260613790-I,high,identifier_context_checked
R010,2605.06134,2606.13790,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 1746: 2605.06134.,E-260613790-I,high,identifier_context_checked
R011,2211.01364,2606.13790,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1755: generative modeling, Transactions on Machine Learning Research (2024) [2211.01364].",E-260613790-I,high,identifier_context_checked
R012,2605.11199,2606.13790,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1749: [32] M. Qian, Operator Spectroscopy of Trained Lattice Samplers, 2605.11199.",E-260613790-I,high,identifier_context_checked
R013,2106.05934,2606.13790,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 1680: [2106.05934].,E-260613790-I,high,identifier_context_checked
R014,2512.19575,2606.13790,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1696: Systems, 2512.19575.",E-260613790-I,high,identifier_context_checked
R015,2309.17082,2606.13790,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1736: theory, Journal of High Energy Physics 2024 (2024) 60 [2309.17082].",E-260613790-I,high,identifier_context_checked
R016,1904.12072,2606.13790,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1674: chain Monte Carlo in lattice field theory, Phys. Rev. D 100 (2019) 034515 [1904.12072].",E-260613790-I,high,identifier_context_checked
R017,2003.06413,2606.13790,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 1689: [2003.06413].,E-260613790-I,high,identifier_context_checked
R018,2107.00734,2606.13790,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 1706: 2107.00734.,E-260613790-I,high,identifier_context_checked
R019,2510.26081,2606.13790,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1740: for Lattice Field Theory, 2510.26081.",E-260613790-I,high,identifier_context_checked
R036,2309.17082,2502.05504,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1393: theory, JHEP 05 (2024) 060 [2309.17082].",E-250205504-I,high,identifier_context_checked
R048,1904.12072,2106.05934,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1648: Rev. D 100 no. 3, (2019) 034515, arXiv:1904.12072              (2007) 051601, arXiv:hep-lat/0608015.",E-210605934-I,high,identifier_context_checked
R058,2201.08862,2409.18861,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 504: non-equilibrium transformations, JHEP 07 (2022) 015 [2201.08862].",E-240918861-I,high,identifier_context_checked
R062,2502.05504,2607.08505,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 2821: S. Kühn, and S. Nakajima, Multilevel Generative Sam-               theory, JHEP 03, 111, arXiv:2502.05504 [hep-lat].",E-260708505-I,high,identifier_context_checked
R068,2605.12597,2607.08505,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 2842: arXiv:1907.05600 [cs.LG].                                           (2026), arXiv:2605.12597 [cond-mat.dis-nn].",E-260708505-I,high,identifier_context_checked
R098,2211.07541,2604.12416,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 800: Eur. Phys. J. A 59 (2023) 257, [2211.07541].",E-260412416-I,high,identifier_context_checked
R105,2106.05934,2208.03832,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 585: arXiv:2106.05934 [hep-lat].,E-220803832-I,high,identifier_context_checked
R107,2003.06413,2208.03832,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 577: arXiv:2003.06413 [hep-lat].,E-220803832-I,high,identifier_context_checked
R110,2201.08862,2601.20708,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 452: non-equilibrium transformations, JHEP 07 (2022) 015 [2201.08862].",E-260120708-I,high,identifier_context_checked
R120,2309.17082,2510.26081,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 2489: Lattice Field Theory. J. High Energ. Phys. 5 (2024) 60 [2309.17082].,E-251026081-I,high,identifier_context_checked
