TermID,CanonicalTerm,OriginalPhrase,Axis,Synonyms,Acronyms,BroaderTerm,NeighborTerms,NegativeMeanings,SourcePaperID,SourceSection,SourceAnchor,ProvenanceType,Confidence,Status
K01,lattice field theory,lattice field theory,domain_benchmark,,,,,,arxiv:2606.13790,root PDF p.1," Prepared for submission to JHEP Stochastic Path Sampler For Lattice Field Theory Shiyang Chen,a,1 Moxian Qian,b,c,1 Gert Aarts,a Biagio Lucini,d Kai Zhoub,e a Centre for Quantum Fields and Gravity, Department of Physics, Swansea University, SA2 8PP, Swansea, United Kingdom arXiv:2606.13790v1 [hep-lat] 11 Jun 2026 b School of Science and Engineering, The Chi",root_paper,high,retained
K02,critical slowing down,critical slowing down,limitation_direction,,,,,,arxiv:2606.13790,root PDF p.1,Markov chain Monte Carlo simulations often become inefficient near phase transitions or the continuum limit due to critical slowing down.,root_paper,high,retained
K03,topological freezing,topological freezing,limitation_direction,,,,,,arxiv:2606.13790,root PDF p.2,Traditional Markov chain methods such as Hybrid Monte Carlo (HMC) typically face two classical challenges: (i) critical slowing down causes a dramatic increase in autocorrelation time; (ii) topological freezing prevents the Markov chain from adequately exploring different topological or symmetry sectors within finite time.,root_paper,high,retained
K04,unnormalized target distribution,unnormalized target distribution,problem,,,,,,arxiv:2606.13790,root PDF p.1,"In this work, we propose a novel sampler based on nonequilibrium thermodynamics, called Stochastic Path Sampler (SPS), which can generate configurations for the unnormalized target distribution and without a need for training data.",root_paper,high,retained
K05,nonequilibrium thermodynamics,nonequilibrium thermodynamics,method,,,,,,arxiv:2606.13790,root PDF p.1,"In this work, we propose a novel sampler based on nonequilibrium thermodynamics, called Stochastic Path Sampler (SPS), which can generate configurations for the unnormalized target distribution and without a need for training data.",root_paper,high,retained
K06,trajectory-level balance,trajectory-level balance,method,,,,,,arxiv:2606.13790,root PDF p.1,The central idea of the SPS is to establish a trajectory-level balance for learnable forward and backward stochastic dynamics between two equilibrium states—the prior and target distributions.,root_paper,high,retained
K07,forward and backward stochastic dynamics,forward and backward stochastic dynamics,method,,,,,,arxiv:2606.13790,root PDF p.1,The central idea of the SPS is to establish a trajectory-level balance for learnable forward and backward stochastic dynamics between two equilibrium states—the prior and target distributions.,root_paper,high,retained
K08,path-space variational free energy,path-space variational free energy,learned_object,,,,,,arxiv:2606.13790,root PDF p.1,"This is achieved by minimizing the path-space variational free energy, equivalently an entropy-production upper bound, defined by the log-ratio of forward and auxiliary backward trajectory measures, to enhance the reversibility of the forward and backward processes.",root_paper,high,retained
K09,entropy production,entropy production,learned_object,,,,,,arxiv:2606.13790,root PDF p.1,"This is achieved by minimizing the path-space variational free energy, equivalently an entropy-production upper bound, defined by the log-ratio of forward and auxiliary backward trajectory measures, to enhance the reversibility of the forward and backward processes.",root_paper,high,retained
K10,independence metropolis,Independence Metropolis,correction_validation,,,,,,arxiv:2606.13790,root PDF p.1,"The learned forward process provides independent proposals, which are subsequently corrected by an extended-space Independence Metropolis–Hastings step.",root_paper,high,retained
K11,stochastic quantization,stochastic quantization,method,,,,,,arxiv:2606.13790,root PDF p.1,This sampler offers a novel stochastic-quantization-inspired route to data-free proposal construction for lattice field theory by leveraging a variational free-energy principle derived from path-space irreversibility.,root_paper,high,retained
K12,normalizing flows,normalizing flows,method,,,,,,arxiv:2606.13790,root PDF p.3,"Variational free-energy based training models include normalizing flows (NFs) [1], continuous normalizing flows (CNFs) [2] and autoregressive networks [3, 4].",root_paper,high,retained
K13,continuous normalizing flows,continuous normalizing flows,method,,,,,,arxiv:2606.13790,root PDF p.3,"Variational free-energy based training models include normalizing flows (NFs) [1], continuous normalizing flows (CNFs) [2] and autoregressive networks [3, 4].",root_paper,high,retained
K14,autoregressive networks,autoregressive networks,method,,,,,,arxiv:2606.13790,root PDF p.3,"Variational free-energy based training models include normalizing flows (NFs) [1], continuous normalizing flows (CNFs) [2] and autoregressive networks [3, 4].",root_paper,high,retained
K15,stochastic normalizing flows,stochastic normalizing flows,method,,,,,,arxiv:2606.13790,root PDF p.3,"Stochastic normalizing flows [18, 19] include Langevin diffusion steps into NFs, to address topology problems [20–22].",root_paper,high,retained
K16,diffusion,diffusion,method,,,,,,arxiv:2606.13790,root PDF p.3,"Stochastic normalizing flows [18, 19] include Langevin diffusion steps into NFs, to address topology problems [20–22].",root_paper,high,retained
K17,path-space kullback,path-space Kullback,method,,,,,,arxiv:2606.13790,root PDF p.3,"In the broader machine-learning literature, data-free diffusion-based samplers that minimize a path-space Kullback-Leibler objective closely related to the one employed in this work have been developed, including the Path Integral Sampler [33], Denoising Diffusion Samplers [34], optimal-control formulations of diffusion-based generative modeling [35, 36], Co",root_paper,high,retained
K18,mode collapse,mode collapse,limitation_direction,,,,,,arxiv:2606.13790,root PDF p.3,"However, when the target distribution has nontrivial topological structure (such as multiple rings, multimodal peaks, or multiple topological sectors), the connected manifold output by the network struggles to cover the entire support set, easily leading to mode collapse [14, 15].",root_paper,high,retained
K19,gauge equivariant,gauge equivariant,domain_benchmark,,,,,,arxiv:2606.13790,root PDF p.3,"Therefore, a gauge equivariant neural network architecture or a special kernel basis needs to be introduced to address topological issues.",root_paper,high,retained
K20,training reference data,training reference data,limitation_direction,,,,,,arxiv:2606.13790,root PDF p.3,"Currently, generative models adopted in lattice field theory (LFT) can be divided into two categories based on their requirements for training reference data: variational free-energy based training models and data-driven training models.",root_paper,high,retained
K21,acceptance rate and training cost,acceptance rate and training cost,correction_validation,,,,,,arxiv:2606.13790,root PDF p.2,Contents 1 Introduction 1 2 Nonequilibrium Thermodynamics on Path Space 3 2.1 Entropy Production on Path Space 4 2.2 Discrete Langevin Paths and Learnable Forward/Backward Kernels 5 2.3 Path Probability Ratio as Discrete Entropy Production 6 2.4 Independence Metropolis–Hastings for SPS 7 3 SPS for Lattice ϕ4 Scalar Fields 9 3.1 Absolute Magnetization 10 3.2 ,root_paper,high,retained
K22,autocorrelation time,autocorrelation time,correction_validation,,,,,,arxiv:2606.13790,root PDF p.1,"In two-dimensional ϕ4 theory, we demonstrate that our neural sampler can achieve the same sampling quality as HMC but with a much shorter autocorrelation time in the pseudocritical region.",root_paper,high,retained
K23,full support of the target distribution,full support of the target distribution,limitation_direction,,,,,,arxiv:2606.13790,root PDF p.8,"By imposing detailed balance on the chain, we guarantee that the final samples strictly adhere to the target physical distribution, provided that the SPS proposal covers the full support of the target distribution; evidence that this is the case in practice, in particular that both Z2 -related sectors are populated in the broken phase, is presented in Append",root_paper,high,retained
K24,free energy density,free energy density,domain_benchmark,,,,,,arxiv:2606.13790,root PDF p.2,Contents 1 Introduction 1 2 Nonequilibrium Thermodynamics on Path Space 3 2.1 Entropy Production on Path Space 4 2.2 Discrete Langevin Paths and Learnable Forward/Backward Kernels 5 2.3 Path Probability Ratio as Discrete Entropy Production 6 2.4 Independence Metropolis–Hastings for SPS 7 3 SPS for Lattice ϕ4 Scalar Fields 9 3.1 Absolute Magnetization 10 3.2 ,root_paper,high,retained
