evidence_id,paper_id,arxiv_id,evidence_type,source_url,pdf_path,anchor,supported_content,status,sha256
E-P001-I,P001,2606.13790,identity,https://arxiv.org/abs/2606.13790,sources/pdfs/2606.13790.pdf,PDF p. 1 title block and current arXiv metadata,Stochastic Path Sampler For Lattice Field Theory,full_text_manual,cc1be38bb8a641a8118606fda7b5d375170720e3e88a9f0c35562f335f2bda17
E-P001-P,P001,2606.13790,problem,https://arxiv.org/abs/2606.13790,sources/pdfs/2606.13790.pdf,PDF p. 1 abstract.,Sample an unnormalized lattice target near criticality without target training data while ordinary Markov chains have long autocorrelations.,full_text_manual,cc1be38bb8a641a8118606fda7b5d375170720e3e88a9f0c35562f335f2bda17
E-P001-M,P001,2606.13790,method,https://arxiv.org/abs/2606.13790,sources/pdfs/2606.13790.pdf,"PDF pp. 1 and 3-8, abstract and Sec. 2.","Learn forward and auxiliary backward Langevin paths by a path-space variational free-energy or entropy-production objective, then correct independent trajectory proposals with extended-space IMH.",full_text_manual,cc1be38bb8a641a8118606fda7b5d375170720e3e88a9f0c35562f335f2bda17
E-P001-R,P001,2606.13790,result,https://arxiv.org/abs/2606.13790,sources/pdfs/2606.13790.pdf,PDF p. 1 abstract and Sec. 3.,"For the reported 2D phi4 tests, corrected SPS agrees with HMC observables and reports a shorter autocorrelation in the critical region.",full_text_manual,cc1be38bb8a641a8118606fda7b5d375170720e3e88a9f0c35562f335f2bda17
E-P001-B,P001,2606.13790,boundary,https://arxiv.org/abs/2606.13790,sources/pdfs/2606.13790.pdf,"PDF p. 21, Sec. 4.","The autocorrelation units differ between IMH steps and HMC trajectories, so the paper does not establish a cost-matched total-efficiency comparison.",full_text_manual,cc1be38bb8a641a8118606fda7b5d375170720e3e88a9f0c35562f335f2bda17
E-P002-I,P002,1904.12072,identity,https://arxiv.org/abs/1904.12072,sources/pdfs/1904.12072.pdf,PDF p. 1 title block and current arXiv metadata,Flow-based generative models for Markov chain Monte Carlo in lattice field theory,full_text_manual,61749019a775a8141842ce23b4dce5678a3f712f311dfcc379747b943ccbe07d
E-P002-P,P002,1904.12072,problem,https://arxiv.org/abs/1904.12072,sources/pdfs/1904.12072.pdf,PDF p. 1 abstract and Sec. I.,Reduce critical slowing in lattice-field Markov-chain sampling.,full_text_manual,61749019a775a8141842ce23b4dce5678a3f712f311dfcc379747b943ccbe07d
E-P002-M,P002,1904.12072,method,https://arxiv.org/abs/1904.12072,sources/pdfs/1904.12072.pdf,"PDF p. 1, Secs. I-II.",Train a normalizing-flow proposal and use an independence Metropolis-Hastings chain to correct it to the target distribution.,full_text_manual,61749019a775a8141842ce23b4dce5678a3f712f311dfcc379747b943ccbe07d
E-P002-R,P002,1904.12072,result,https://arxiv.org/abs/1904.12072,sources/pdfs/1904.12072.pdf,PDF p. 1 abstract and Sec. III.,Training improves the reported autocorrelation behavior and the paper compares with HMC and local Metropolis for 2D phi4.,full_text_manual,61749019a775a8141842ce23b4dce5678a3f712f311dfcc379747b943ccbe07d
E-P002-B,P002,1904.12072,boundary,https://arxiv.org/abs/1904.12072,sources/pdfs/1904.12072.pdf,"PDF p. 1, end of Sec. I.",The concrete numerical demonstration is 2D phi4; higher-dimensional and QCD scaling are explicitly future-development questions.,full_text_manual,61749019a775a8141842ce23b4dce5678a3f712f311dfcc379747b943ccbe07d
E-P003-I,P003,2003.06413,identity,https://arxiv.org/abs/2003.06413,sources/pdfs/2003.06413.pdf,PDF p. 1 title block and current arXiv metadata,Equivariant flow-based sampling for lattice gauge theory,full_text_manual,6f5d0bb1effda44b3fcb55d40ba679495428944a8988c71c61e7ccf19258d1f4
E-P003-P,P003,2003.06413,problem,https://arxiv.org/abs/2003.06413,sources/pdfs/2003.06413.pdf,PDF p. 1 abstract.,Construct learned samplers that respect lattice-gauge symmetry and improve topological sampling near criticality.,full_text_manual,6f5d0bb1effda44b3fcb55d40ba679495428944a8988c71c61e7ccf19258d1f4
E-P003-M,P003,2003.06413,method,https://arxiv.org/abs/2003.06413,sources/pdfs/2003.06413.pdf,PDF pp. 1-2.,"Use gauge-invariant-by-construction, invertible flow-based sampling algorithms.",full_text_manual,6f5d0bb1effda44b3fcb55d40ba679495428944a8988c71c61e7ccf19258d1f4
E-P003-R,P003,2003.06413,result,https://arxiv.org/abs/2003.06413,sources/pdfs/2003.06413.pdf,PDF p. 1 abstract.,"In 2D U(1), the reported approach is orders of magnitude more efficient for topological quantities near critical points than HMC and Heat Bath.",full_text_manual,6f5d0bb1effda44b3fcb55d40ba679495428944a8988c71c61e7ccf19258d1f4
E-P003-B,P003,2003.06413,boundary,https://arxiv.org/abs/2003.06413,sources/pdfs/2003.06413.pdf,PDF p. 1 abstract.,"The stated demonstration is 2D U(1), so it does not by itself prove performance for general gauge groups or QCD.",full_text_manual,6f5d0bb1effda44b3fcb55d40ba679495428944a8988c71c61e7ccf19258d1f4
E-P005-I,P005,2111.15141,identity,https://arxiv.org/abs/2111.15141,sources/pdfs/2111.15141.pdf,PDF p. 1 title block and current arXiv metadata,Path Integral Sampler: a stochastic control approach for sampling,full_text_manual,e0bb88baf8cf19b54d29195a6765aaf113de42fa7b5aab2d11658fd959175ac8
E-P005-P,P005,2111.15141,problem,https://arxiv.org/abs/2111.15141,sources/pdfs/2111.15141.pdf,PDF p. 1 abstract.,Sample unnormalized densities through a controlled stochastic path rather than an explicit terminal density model.,full_text_manual,e0bb88baf8cf19b54d29195a6765aaf113de42fa7b5aab2d11658fd959175ac8
E-P005-M,P005,2111.15141,method,https://arxiv.org/abs/2111.15141,sources/pdfs/2111.15141.pdf,PDF p. 1 abstract and p. 2 Sec. 1.,Cast a Schrodinger bridge as stochastic optimal control and use Girsanov-based importance weights to compensate suboptimal control and time discretization.,full_text_manual,e0bb88baf8cf19b54d29195a6765aaf113de42fa7b5aab2d11658fd959175ac8
E-P005-R,P005,2111.15141,result,https://arxiv.org/abs/2111.15141,sources/pdfs/2111.15141.pdf,PDF p. 1 abstract.,The paper gives a Wasserstein-distance justification for suboptimal control and reports comparative experiments on several sampling tasks.,full_text_manual,e0bb88baf8cf19b54d29195a6765aaf113de42fa7b5aab2d11658fd959175ac8
E-P005-B,P005,2111.15141,boundary,https://arxiv.org/abs/2111.15141,sources/pdfs/2111.15141.pdf,PDF p. 1 abstract and p. 2 Sec. 1.,"This is a general-sampling paper rather than a lattice-field benchmark, so its relation to SPS is methodological rather than empirical equivalence.",full_text_manual,e0bb88baf8cf19b54d29195a6765aaf113de42fa7b5aab2d11658fd959175ac8
E-P006-I,P006,2201.08862,identity,https://arxiv.org/abs/2201.08862,sources/pdfs/2201.08862.pdf,PDF p. 1 title block and current arXiv metadata,Stochastic normalizing flows as non-equilibrium transformations,full_text_manual,798759d54c5256ac75eb188fac679c96d0af51979894b85d0c72c7db03817858
E-P006-P,P006,2201.08862,problem,https://arxiv.org/abs/2201.08862,sources/pdfs/2201.08862.pdf,PDF p. 1 abstract.,Connect generative sampling with nonequilibrium free-energy estimation in lattice field theory.,full_text_manual,798759d54c5256ac75eb188fac679c96d0af51979894b85d0c72c7db03817858
E-P006-M,P006,2201.08862,method,https://arxiv.org/abs/2201.08862,sources/pdfs/2201.08862.pdf,PDF p. 1 abstract and Sec. 1.,Combine neural normalizing-flow layers with Monte Carlo updates and identify the framework with Jarzynski-based nonequilibrium transformations.,full_text_manual,798759d54c5256ac75eb188fac679c96d0af51979894b85d0c72c7db03817858
E-P006-R,P006,2201.08862,result,https://arxiv.org/abs/2201.08862,sources/pdfs/2201.08862.pdf,PDF p. 1 abstract.,The article lays out an efficiency-optimization strategy and applications for this extended generative-model class.,full_text_manual,798759d54c5256ac75eb188fac679c96d0af51979894b85d0c72c7db03817858
