PaperID,ArxivID,Title,ProblemAnchor,Problem,MechanismAnchor,MechanismCorrection,ResultAnchor,Result,LimitationAnchor,Limitation,EvidenceIDs
P_1904_12072,1904.12072,Flow-based generative models for Markov chain Monte Carlo in lattice field theory,"p.1, Introduction",LFT sampling near criticality is slowed by local MCMC.,"pp.1-4, flow-based MCMC",A normalizing flow supplies independent proposals; an independence Metropolis-Hastings chain supplies asymptotic exactness.,"pp.7-9, tests","In 2D phi4, observables agree with HMC/local Metropolis and rejection-driven correlations are reduced.","pp.6-7, scope/cost caveat",Proof of principle in the symmetric phase; architecture search and training-inclusive cost optimization are left open.,EV-01-P;EV-01-M;EV-01-R;EV-01-L
P_2003_06413,2003.06413,Equivariant flow-based sampling for lattice gauge theory,"p.1, introduction",Topological freezing obstructs conventional sampling in lattice gauge theory.,"pp.1-3, equivariant flow",Gauge-equivariant coupling layers preserve symmetry and feed an exact Metropolis-Hastings chain.,"pp.1,4-5, numerical study","For 2D U(1), flow proposals traverse topological sectors more readily than HMC/heat bath at the studied coupling.","pp.5-6, outlook","The demonstration is a low-dimensional solvable gauge theory, not a cost-matched 4D QCD result.",EV-02-P;EV-02-M;EV-02-R;EV-02-L
P_2007_07115,2007.07115,Estimation of Thermodynamic Observables in Lattice Field Theories with Deep Generative Models,"p.1, Introduction",Absolute free energies are difficult for standard MCMC integration paths.,"pp.1-3, estimator",A tractable deep generative density enables direct free-energy and thermodynamic estimators with importance weighting.,"pp.3-5, numerical experiments",The 2D phi4 tests agree with reference calculations and avoid parameter-path integration.,"p.5, Conclusion",Estimator quality depends on overlap/model quality; the paper does not establish large-volume cost scaling.,EV-03-P;EV-03-M;EV-03-R;EV-03-L
P_2106_05934,2106.05934,Flow-based sampling for fermionic lattice field theories,"p.1, Introduction",Fermion determinants and pseudofermion structure complicate learned LFT proposals.,"pp.5-10, model constructions","Joint/auxiliary flow constructions model scalar and pseudofermion variables, followed by exact MCMC correction.","pp.11-17, experiments",A 2D Yukawa theory demonstrates viable fermionic flow-based sampling and correct observables.,"p.18, Discussion",The benchmark is two dimensional; determinant/pseudofermion cost and scaling to realistic dynamical fermions remain unresolved.,EV-04-P;EV-04-M;EV-04-R;EV-04-L
P_2107_00734,2107.00734,Flow-based sampling for multimodal and extended-mode distributions in lattice field theory,"pp.1-3, Introduction",Reverse-KL flows can miss separated or extended modes.,"pp.11-21, methods","Adiabatic retraining, flow-distance regularization, symmetry-aware models, and composite flow/MCMC transitions repair mode coverage.","pp.21-35, case studies",Real and complex scalar tests show that composite samplers can remain useful where a pure flow fails.,"p.37, Summary and outlook",No single intervention guarantees coverage; diagnostics and training choices remain model dependent.,EV-05-P;EV-05-M;EV-05-R;EV-05-L
P_2110_02673,2110.02673,Scaling Up Machine Learning For Quantum Field Theory with Equivariant Continuous Flows,"pp.1-2, Introduction",Generic deep flows scale poorly and neglect field-theory symmetry.,"pp.2-5, architecture",A shallow equivariant continuous flow uses domain-specific basis functions and MH correction.,"pp.1,5-6, results",Relative ESS rises from about 1% for the RealNVP baseline to 66% in the reported phi4 setting.,"p.7, Conclusion",Systematic scalability assessment is explicitly future work.,EV-06-P;EV-06-M;EV-06-R;EV-06-L
P_2111_15141,2111.15141,Path Integral Sampler: a stochastic control approach for sampling,"pp.1-3, sampling problem",Sampling unnormalized targets remains hard for finite-step variational samplers.,"pp.3-7, control/path objective",Path Integral Sampler learns a stochastic-control drift and uses trajectory importance weights for calibration.,"pp.7-9, experiments",Benchmarks compare favorably with contemporary sampling methods across multimodal targets.,"p.9, Limitations",Neural training adds overhead and finite-step quality depends on optimization and hyperparameters.,EV-07-P;EV-07-M;EV-07-R;EV-07-L
P_2201_08862,2201.08862,Stochastic normalizing flows as non-equilibrium transformations,"p.2, Introduction",Free-energy estimation and efficient transport both suffer from nonequilibrium dissipation.,"pp.5-12, framework",Stochastic normalizing flows interleave trainable invertible layers with stochastic updates under a Jarzynski/work framework.,"pp.13-21, tests",Scalar-field examples show reduced work fluctuations and improved free-energy/sampling efficiency over simpler protocols.,"p.22, Conclusions",Benefits depend on protocol/training design and the paper does not establish general high-dimensional cost scaling.,EV-08-P;EV-08-M;EV-08-R;EV-08-L
P_2202_11712,2202.11712,Flow-based sampling in the lattice Schwinger model at criticality,"p.1, motivation",At criticality conventional chains can fail to visit all sectors in the lattice Schwinger model.,"pp.1-3, sampler",A symmetry-aware flow proposes global configurations inside an exact MCMC construction.,"pp.2-4, results",The flow-based chain samples both critical sectors and yields uncertainties missed by stuck conventional chains.,"p.4, Conclusion and outlook",The result is model-specific and end-to-end training/generation cost is not matched against alternatives.,EV-09-P;EV-09-M;EV-09-R;EV-09-L
P_2207_00283,2207.00283,Learning lattice quantum field theories with equivariant continuous flows,"pp.1-3, Introduction","LFT samplers need symmetry, efficiency, and transfer across parameters/volumes.","pp.4-7, continuous flow",An equivariant neural ODE defines a continuous normalizing flow with exact MH correction.,"pp.8-10, results",It outperforms earlier flows in phi4 and demonstrates joint-theory learning plus transfer to larger lattices.,"p.10, Conclusion",Evidence remains centered on 2D scalar theory; transfer does not by itself prove asymptotic cost scaling.,EV-10-P;EV-10-M;EV-10-R;EV-10-L
