claim_id,claim,allowed_short_sentence,evidence_ids,boundary,status
C01,SPS learns forward and auxiliary backward stochastic paths by minimizing a path-space variational free energy that is also interpreted as an entropy-production upper bound.,SPS learns a low-irreversibility path between prior and target.,E-260613790-M,This is the formulation in SPS v1; do not replace it by terminal-density KL training.,confirmed
C02,SPS uses an extended-space independence Metropolis-Hastings step to correct learned independent path proposals.,The learned proposal is followed by an exactness gate.,E-260613790-M;E-260613790-R,Do not call the uncorrected SPS output exact; the paper itself reports tail and susceptibility deviations before IMH.,confirmed
C03,"The closest methodological ancestors are path-space stochastic control/diffusion samplers and nonequilibrium transport methods, not only ordinary normalizing flows.",SPS sits at the intersection of path-space control and nonequilibrium transport.,E-211115141-M;E-230213834-M;E-230701050-M;E-241002711-M;E-260613790-M,"This is a synthesis from direct SPS references and shared path-measure objectives, not a claim that the algorithms are identical.",confirmed
C04,"A parallel lattice lineage combines normalizing-flow maps with Metropolis, reweighting or Jarzynski corrections, then extends to gauge, fermion and stochastic-flow settings.",The lattice lineage repeatedly pairs learned proposals with a correction mechanism.,E-190412072-M;E-200306413-M;E-210605934-M;E-220108862-M;E-220803832-M;E-260120708-M,"The methods differ in proposal construction, target system and scaling; shared correction logic does not imply equal performance.",confirmed
C05,"Diffusion models do not automatically remove critical slowing down: in a controlled Gaussian O(n) analysis, one-layer training and generation inherit it, while depth plus physical locality changes the reported scaling.",Diffusion helps only when architecture and physics match the slow modes.,E-260512597-R;E-260512597-L;E-260708505-L,"The quadratic-to-logarithmic result is established in the Gaussian O(n to infinity) setting, not universally for interacting lattice theories.",confirmed
C06,"Promising scale-transfer mechanisms include cross-volume convolutional scores, coarse-to-fine factorization and localized boundary-defect transformations.","Transfer, multiscale structure and locality are three distinct routes to larger lattices.",E-260708505-R;E-260410209-R;E-260120708-R,Evidence is method- and benchmark-specific; realistic full-QCD scaling is not yet established.,confirmed
C07,"A fair efficiency claim must include training, proposal generation, correction/reweighting and observable-level uncertainty, not ESS alone.","Efficiency means physical error per total compute, not a single ESS number.",E-221107541-R;E-221107541-L;E-190412072-L;E-260410209-R,The literature supplies components of this standard but not one uniform cross-paper benchmark.,confirmed
C08,"Mode, tail and operator-sector diagnostics are needed because aggregate losses or ESS can miss physically important errors.",A sampler can look good globally and still miss the modes that matter.,E-210700734-R;E-210700734-L;E-260511199-R;E-260708505-R,Diagnostics identify risk; they do not by themselves correct a sampler.,confirmed
C09,"Most strong demonstrations still use 2D scalar or Abelian gauge systems; a small set of 4D SU(3) studies is emerging, while dynamical-fermion, continuum and full-cost evidence remains limited.","The field is active, but realistic lattice-QCD evidence is still sparse.",E-260412416-R;E-260412416-L;E-220803832-L;E-260120708-R,Do not describe the approach as mature or proven at production QCD scale.,confirmed
C10,"The most defensible SPS follow-up directions are stronger support/infrared diagnostics, architecture-locality studies, exact-correction efficiency, cross-volume or multiscale transfer, and gauge/fermion extensions.","The next step is to close correctness, scaling and physics-cost loops together.",E-260613790-L;E-260511199-L;E-260512597-L;E-260708505-L;E-260410209-L;E-210605934-L,"These are literature-grounded directions, not results already achieved by SPS.",confirmed
