claim_id,arxiv_id,title,claim,source_anchor,evidence_ids,boundary,do_not_write,status
C-P001,2606.13790,Stochastic Path Sampler For Lattice Field Theory,"In the reported 2D phi4 benchmark, SPS plus IMH reproduces the reported HMC observables; a cost-matched comparison remains open.",PDF p. 1 abstract and Sec. 3.,E-P001-I;E-P001-P;E-P001-M;E-P001-R;E-P001-B,"The autocorrelation units differ between IMH steps and HMC trajectories, so the paper does not establish a cost-matched total-efficiency comparison.",SPS is universally faster than HMC.,C4_anchored
C-P002,1904.12072,Flow-based generative models for Markov chain Monte Carlo in lattice field theory,Flow proposals can be coupled to an independence MH correction to retain an exact target chain under the paper's stated conditions.,PDF p. 1 abstract and Sec. III.,E-P002-I;E-P002-P;E-P002-M;E-P002-R;E-P002-B,The concrete numerical demonstration is 2D phi4; higher-dimensional and QCD scaling are explicitly future-development questions.,A learned flow removes critical slowing down in all lattice field theories.,C4_anchored
C-P003,2003.06413,Equivariant flow-based sampling for lattice gauge theory,Gauge equivariance can be built into flow proposals rather than learned only from data.,PDF p. 1 abstract.,E-P003-I;E-P003-P;E-P003-M;E-P003-R;E-P003-B,"The stated demonstration is 2D U(1), so it does not by itself prove performance for general gauge groups or QCD.",This result proves the same efficiency gain for all gauge theories.,C4_anchored
C-P005,2111.15141,Path Integral Sampler: a stochastic control approach for sampling,PIS is a path-space control neighbor that preserves an importance-weight correction route for an unnormalized target.,PDF p. 1 abstract.,E-P005-I;E-P005-P;E-P005-M;E-P005-R;E-P005-B,"This is a general-sampling paper rather than a lattice-field benchmark, so its relation to SPS is methodological rather than empirical equivalence.",PIS and SPS are the same algorithm.,C4_anchored
C-P006,2201.08862,Stochastic normalizing flows as non-equilibrium transformations,Stochastic normalizing flows provide a documented Jarzynski and nonequilibrium bridge in the SPS method family.,PDF p. 1 abstract.,E-P006-I;E-P006-P;E-P006-M;E-P006-R;E-P006-B,"It establishes a conceptual and algorithmic bridge, not a direct SPS-versus-baseline performance comparison.",The paper proves that every nonequilibrium learned sampler has the same performance.,C4_anchored
C-P008,2210.03139,Stochastic normalizing flows for lattice field theory,The SNF literature explicitly treats deterministic flow layers and stochastic updates as one hybrid sampler family.,PDF p. 1 abstract and p. 2 Sec. 2.,E-P008-I;E-P008-P;E-P008-M;E-P008-R;E-P008-B,"This is a short proceeding and should be used as an implementation account, with detailed claims checked against the underlying article.",This short proceeding establishes a general compute advantage.,C4_anchored
C-P010,2302.13834,Denoising Diffusion Samplers,"DDS is a relevant diffusion and path-measure comparison point for unnormalized targets, not evidence of lattice performance.",PDF p. 1 abstract and p. 2 Sec. 1.,E-P010-I;E-P010-P;E-P010-M;E-P010-R;E-P010-B,"DDS is an adjacent unnormalized-target method, not a lattice-field result in this paper.",DDS validates SPS on lattice phi4.,C4_anchored
C-P012,2309.17082,Diffusion Models as Stochastic Quantization in Lattice Field Theory,This paper is a lattice diffusion and stochastic-quantization predecessor relevant to SPS's Langevin-path framing.,PDF p. 1 abstract and Sec. 4.,E-P012-I;E-P012-P;E-P012-M;E-P012-R;E-P012-B,The claim is tied to the tested 2D phi4 setup and the reported model configuration.,Diffusion sampling is automatically exact without a correction analysis.,C4_anchored
C-P013,2310.11979,Out-of-equilibrium simulations to fight topological freezing,Out-of-equilibrium boundary protocols are a nearby route for addressing topological freezing with a correction-like estimator.,PDF p. 1 abstract and p. 2 Sec. 1.,E-P013-I;E-P013-P;E-P013-M;E-P013-R;E-P013-B,"It is a conference contribution on CP(N-1), and its link to SPS is a shared nonequilibrium family rather than a verified direct root citation.",This is a direct SPS baseline on the same model.,C4_anchored
C-P015,2402.06561,Mitigating topological freezing using out-of-equilibrium simulations,This work supplies a concrete nonequilibrium evaluation template beyond ESS alone.,PDF p. 1 abstract.,E-P015-I;E-P015-P;E-P015-M;E-P015-R;E-P015-B,The article presents a non-ML protocol and says machine-learning combinations are future work; it is not evidence that an SNF or SPS has been tested there.,SPS has already been shown to solve topological freezing by this paper.,C4_anchored
