CandidateID,QueryID,Title,Year,DOI,SourceID,PrimaryURL,Decision,Reason,EvidenceLevel
C0001,F01,The Description of a Random Field by Means of Conditional Probabilities and Conditions of Its Regularity,1968,https://doi.org/10.1137/1113026,https://openalex.org/W2132353975,https://doi.org/10.1137/1113026,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0002,F01,Flow-based generative models for Markov chain Monte Carlo in lattice field theory,2019,https://doi.org/10.1103/physrevd.100.034515,https://openalex.org/W2941443959,https://doi.org/10.1103/physrevd.100.034515,include_screen,Title matches LFT/sampler scope.,metadata
C0003,F01,Analysis of a nonreversible Markov chain sampler,2000,https://doi.org/10.1214/aoap/1019487508,https://openalex.org/W2090251478,https://doi.org/10.1214/aoap/1019487508,include_screen,Title matches LFT/sampler scope.,metadata
C0004,F01,Simulating normalizing constants: from importance sampling to bridge sampling to path sampling,1998,https://doi.org/10.1214/ss/1028905934,https://openalex.org/W2013164703,https://doi.org/10.1214/ss/1028905934,include_screen,Title matches LFT/sampler scope.,metadata
C0005,F01,Estimation of Thermodynamic Observables in Lattice Field Theories with Deep Generative Models,2021,https://doi.org/10.1103/physrevlett.126.032001,https://openalex.org/W3042241440,https://doi.org/10.1103/physrevlett.126.032001,include_screen,Title matches LFT/sampler scope.,metadata
C0006,F01,An Introduction to Conditional Random Fields,2012,https://doi.org/10.1561/2200000013,https://openalex.org/W2129999749,https://doi.org/10.1561/2200000013,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0007,F01,Diffusion models as stochastic quantization in lattice field theory,2024,https://doi.org/10.1007/jhep05(2024)060,https://openalex.org/W4396748050,https://doi.org/10.1007/jhep05(2024)060,include_screen,Title matches LFT/sampler scope.,metadata
C0008,F01,Prescribing a System of Random Variables by Conditional Distributions,1970,https://doi.org/10.1137/1115049,https://openalex.org/W2055649245,https://doi.org/10.1137/1115049,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0009,F01,Perfect Slice Samplers,2001,https://doi.org/10.1111/1467-9868.00301,https://openalex.org/W2165991407,https://doi.org/10.1111/1467-9868.00301,include_screen,Title matches LFT/sampler scope.,metadata
C0010,F01,Topic Modeling in Management Research: Rendering New Theory from Textual Data,2019,https://doi.org/10.5465/annals.2017.0099,https://openalex.org/W2943121181,https://doi.org/10.5465/annals.2017.0099,exclude,Search noise outside SPS/LFT sampling scope.,metadata
C0011,F01,Stochastic models of interacting systems,1997,https://doi.org/10.1214/aop/1024404276,https://openalex.org/W2033637727,https://doi.org/10.1214/aop/1024404276,exclude,Search noise outside SPS/LFT sampling scope.,metadata
