operation_id,epoch,channel,method,endpoint_or_query,outcome,result_count,bytes,path_or_evidence,note
N001,1783850650,web_search,search_query,"\"Moxian Qian\" \"stochastic path sampler\" SPS",success,1,unavailable,web-result,identity route 1
N002,1783850650,web_search,search_query,"\"Moxian Qian\" stochastic path sampling",success,4,unavailable,web-result,identity route 2
N003,1783850650,web_search,search_query,"site:arxiv.org Moxian Qian stochastic path sampler",success,1,unavailable,web-result,identity route 3
N007,1783850860,openalex,GET,Stochastic Path Sampler For Lattice Field Theory,success,1670,716607,sources/metadata/F01.json,F01
N008,1783850861,openalex,GET,SPS Moxian Qian stochastic path sampler,success,0,499,sources/metadata/F02.json,F02
N009,1783850861,openalex,GET,Stochastic Path Sampler arXiv 2606.13790,success,0,502,sources/metadata/F03.json,F03
N010,1783850862,openalex,GET,ROOT_REFERENCED_WORKS,success,1,40305,sources/metadata/F04.json,F04
N011,1783850863,openalex,GET,ROOT_CITING_WORKS,success,712,857338,sources/metadata/F05.json,F05
N012,1783850864,openalex,GET,Moxian Qian lattice sampler,success,0,463,sources/metadata/F06.json,F06
N013,1783850864,openalex,GET,Shiyang Chen lattice field sampler,success,6,98990,sources/metadata/F07.json,F07
N014,1783850865,openalex,GET,Gert Aarts diffusion lattice field theory,success,47,500085,sources/metadata/F08.json,F08
N015,1783850866,openalex,GET,Biagio Lucini machine learning lattice sampling,success,21,539434,sources/metadata/F09.json,F09
N016,1783850867,openalex,GET,Kai Zhou lattice field sampler,success,128,699538,sources/metadata/F10.json,F10
N017,1783850869,openalex,GET,trajectory level balance stochastic sampler,success,3877,632200,sources/metadata/F11.json,F11
N018,1783850870,openalex,GET,path space variational free energy sampler,success,10082,846268,sources/metadata/F12.json,F12
N019,1783850872,openalex,GET,entropy production learned diffusion sampler,success,628,569111,sources/metadata/F13.json,F13
N020,1783850873,openalex,GET,learned forward backward drifts stochastic sampling,success,4543,733159,sources/metadata/F14.json,F14
N021,1783850874,openalex,GET,stochastic quantization neural sampler lattice field theory,success,206,676661,sources/metadata/F15.json,F15
N022,1783850875,openalex,GET,independence Metropolis Hastings learned diffusion proposal,success,224,584393,sources/metadata/F16.json,F16
N023,1783850876,openalex,GET,stochastic normalizing flow lattice field theory,success,16214,749008,sources/metadata/F17.json,F17
N024,1783850877,openalex,GET,nonequilibrium transport sampler lattice field theory,success,195,684701,sources/metadata/F18.json,F18
N025,1783850879,openalex,GET,diffusion sampler unnormalized target action,success,255,548280,sources/metadata/F19.json,F19
N026,1783850879,openalex,GET,autoregressive network phi4 Monte Carlo,success,8,174743,sources/metadata/F20.json,F20
