edge_id,source_arxiv_id,target_arxiv_id,relation_type,relation_basis,evidence_id,confidence,human_review_status
R001,2111.15141,2606.13790,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1751: International Conference on Learning Representations (ICLR), 2022 [2111.15141].",E-260613790-I,high,identifier_context_checked
R002,2302.13834,2606.13790,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1753: Conference on Learning Representations (ICLR), 2023 [2302.13834].",E-260613790-I,high,identifier_context_checked
R003,2307.01050,2606.13790,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1760: (ICLR), 2024 [2307.01050].",E-260613790-I,high,identifier_context_checked
R004,2410.02711,2606.13790,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 1762: 2410.02711.,E-260613790-I,high,identifier_context_checked
R005,2409.15937,2606.13790,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1723: effective string using Stochastic Normalizing Flows, JHEP 02 (2025) 090 [2409.15937].",E-260613790-I,high,identifier_context_checked
R006,2412.19109,2606.13790,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 1721: 2412.19109.,E-260613790-I,high,identifier_context_checked
R007,2210.03139,2606.13790,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1719: theory, PoS LATTICE2022 (2023) 005 [2210.03139].",E-260613790-I,high,identifier_context_checked
R008,2201.08862,2606.13790,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1717: non-equilibrium transformations, JHEP 07 (2022) 015 [2201.08862].",E-260613790-I,high,identifier_context_checked
R009,2502.05504,2606.13790,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1738: lattice gauge theory, JHEP 03 (2026) 111 [2502.05504].",E-260613790-I,high,identifier_context_checked
R010,2605.06134,2606.13790,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 1746: 2605.06134.,E-260613790-I,high,identifier_context_checked
R011,2211.01364,2606.13790,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1755: generative modeling, Transactions on Machine Learning Research (2024) [2211.01364].",E-260613790-I,high,identifier_context_checked
R012,2605.11199,2606.13790,direct_citation,"Exact arXiv identifier appears in current-run text extraction at line 1749: [32] M. Qian, Operator Spectroscopy of Trained Lattice Samplers, 2605.11199.",E-260613790-I,high,identifier_context_checked
R013,2106.05934,2606.13790,direct_citation,Exact arXiv identifier appears in current-run text extraction at line 1680: [2106.05934].,E-260613790-I,high,identifier_context_checked
