term_id,term,normalized_term,facet,source,page,anchor_quote,status
K01,lattice field theory,lattice field theory,domain,root_pdf,1," Prepared for submission to JHEP Stochastic Path Sampler For Lattice Field Theory Shiyang Chen,a,1 Moxian Qian,b,c,1 Gert Aarts,a Biagio Lucini,d Kai Zhoub,e a Centre for Quantum Fields and Gravity, Department of Physics, Swansea University, SA2 8PP, Swansea, United Kingdom arXiv:2606.13790v1 [hep-lat] 11 Jun 2026 b School of Science and Engineering, The Chi",root_grounded
K02,critical slowing down,critical slowing down,failure,root_pdf,1,Markov chain Monte Carlo simulations often become inefficient near phase transitions or the continuum limit due to critical slowing down.,root_grounded
K03,topological freezing,topological freezing,failure,root_pdf,2,Traditional Markov chain methods such as Hybrid Monte Carlo (HMC) typically face two classical challenges: (i) critical slowing down causes a dramatic increase in autocorrelation time; (ii) topological freezing prevents the Markov chain from adequately exploring different topological or symmetry sectors within finite time.,root_grounded
K04,unnormalized target distribution,unnormalized target distribution,problem,root_pdf,1,"In this work, we propose a novel sampler based on nonequilibrium thermodynamics, called Stochastic Path Sampler (SPS), which can generate configurations for the unnormalized target distribution and without a need for training data.",root_grounded
K05,nonequilibrium thermodynamics,nonequilibrium thermodynamics,foundation,root_pdf,1,"In this work, we propose a novel sampler based on nonequilibrium thermodynamics, called Stochastic Path Sampler (SPS), which can generate configurations for the unnormalized target distribution and without a need for training data.",root_grounded
K06,trajectory-level balance,trajectory-level balance,mechanism,root_pdf,1,The central idea of the SPS is to establish a trajectory-level balance for learnable forward and backward stochastic dynamics between two equilibrium states—the prior and target distributions.,root_grounded
K07,forward and backward stochastic dynamics,forward and backward stochastic dynamics,mechanism,root_pdf,1,The central idea of the SPS is to establish a trajectory-level balance for learnable forward and backward stochastic dynamics between two equilibrium states—the prior and target distributions.,root_grounded
K08,path-space variational free energy,path-space variational free energy,objective,root_pdf,1,"This is achieved by minimizing the path-space variational free energy, equivalently an entropy-production upper bound, defined by the log-ratio of forward and auxiliary backward trajectory measures, to enhance the reversibility of the forward and backward processes.",root_grounded
K09,entropy production,entropy production,objective,root_pdf,1,"This is achieved by minimizing the path-space variational free energy, equivalently an entropy-production upper bound, defined by the log-ratio of forward and auxiliary backward trajectory measures, to enhance the reversibility of the forward and backward processes.",root_grounded
K10,Independence Metropolis,independence metropolis,correction,root_pdf,1,"The learned forward process provides independent proposals, which are subsequently corrected by an extended-space Independence Metropolis–Hastings step.",root_grounded
K11,stochastic quantization,stochastic quantization,lineage,root_pdf,1,This sampler offers a novel stochastic-quantization-inspired route to data-free proposal construction for lattice field theory by leveraging a variational free-energy principle derived from path-space irreversibility.,root_grounded
K12,normalizing flows,normalizing flows,adjacent_method,root_pdf,3,"Variational free-energy based training models include normalizing flows (NFs) [1], continuous normalizing flows (CNFs) [2] and autoregressive networks [3, 4].",root_grounded
K13,continuous normalizing flows,continuous normalizing flows,adjacent_method,root_pdf,3,"Variational free-energy based training models include normalizing flows (NFs) [1], continuous normalizing flows (CNFs) [2] and autoregressive networks [3, 4].",root_grounded
K14,autoregressive networks,autoregressive networks,adjacent_method,root_pdf,3,"Variational free-energy based training models include normalizing flows (NFs) [1], continuous normalizing flows (CNFs) [2] and autoregressive networks [3, 4].",root_grounded
K15,stochastic normalizing flows,stochastic normalizing flows,adjacent_method,root_pdf,3,"Stochastic normalizing flows [18, 19] include Langevin diffusion steps into NFs, to address topology problems [20–22].",root_grounded
K16,diffusion,diffusion,adjacent_method,root_pdf,3,"Stochastic normalizing flows [18, 19] include Langevin diffusion steps into NFs, to address topology problems [20–22].",root_grounded
K17,path-space Kullback,path-space kullback,lineage,root_pdf,3,"In the broader machine-learning literature, data-free diffusion-based samplers that minimize a path-space Kullback-Leibler objective closely related to the one employed in this work have been developed, including the Path Integral Sampler [33], Denoising Diffusion Samplers [34], optimal-control formulations of diffusion-based generative modeling [35, 36], Co",root_grounded
K18,mode collapse,mode collapse,failure,root_pdf,3,"However, when the target distribution has nontrivial topological structure (such as multiple rings, multimodal peaks, or multiple topological sectors), the connected manifold output by the network struggles to cover the entire support set, easily leading to mode collapse [14, 15].",root_grounded
K19,gauge equivariant,gauge equivariant,extension,root_pdf,3,"Therefore, a gauge equivariant neural network architecture or a special kernel basis needs to be introduced to address topological issues.",root_grounded
K20,training reference data,training reference data,boundary,root_pdf,3,"Currently, generative models adopted in lattice field theory (LFT) can be divided into two categories based on their requirements for training reference data: variational free-energy based training models and data-driven training models.",root_grounded
K21,acceptance rate and training cost,acceptance rate and training cost,evaluation,root_pdf,2,Contents 1 Introduction 1 2 Nonequilibrium Thermodynamics on Path Space 3 2.1 Entropy Production on Path Space 4 2.2 Discrete Langevin Paths and Learnable Forward/Backward Kernels 5 2.3 Path Probability Ratio as Discrete Entropy Production 6 2.4 Independence Metropolis–Hastings for SPS 7 3 SPS for Lattice ϕ4 Scalar Fields 9 3.1 Absolute Magnetization 10 3.2 ,root_grounded
K22,autocorrelation time,autocorrelation time,evaluation,root_pdf,1,"In two-dimensional ϕ4 theory, we demonstrate that our neural sampler can achieve the same sampling quality as HMC but with a much shorter autocorrelation time in the pseudocritical region.",root_grounded
K23,full support of the target distribution,full support of the target distribution,boundary,root_pdf,8,"By imposing detailed balance on the chain, we guarantee that the final samples strictly adhere to the target physical distribution, provided that the SPS proposal covers the full support of the target distribution; evidence that this is the case in practice, in particular that both Z2 -related sectors are populated in the broken phase, is presented in Append",root_grounded
K24,free energy density,free energy density,observable,root_pdf,2,Contents 1 Introduction 1 2 Nonequilibrium Thermodynamics on Path Space 3 2.1 Entropy Production on Path Space 4 2.2 Discrete Langevin Paths and Learnable Forward/Backward Kernels 5 2.3 Path Probability Ratio as Discrete Entropy Production 6 2.4 Independence Metropolis–Hastings for SPS 7 3 SPS for Lattice ϕ4 Scalar Fields 9 3.1 Absolute Magnetization 10 3.2 ,root_grounded
