rank,arxiv_id,title,year,cluster,reachable,dijkstra_distance,path_kind,path_nodes,path_relations,path_weights,path_cost_recomputed,evidence_refs
1,2606.13790,Stochastic Path Sampler For Lattice Field Theory,2026,SPS,yes,0.0,root,paper:2606.13790,,,0,
2,1904.12072,Flow-based generative models for Markov chain Monte Carlo in lattice field theory,2019,Normalizing flows,yes,0.2,citation_only,paper:2606.13790 -> paper:1904.12072,backward_direct_citation,0.2,0.2,R0165
3,1810.12879,Regressive and generative neural networks for scalar field theory,2019,Early generative baselines,yes,0.2,citation_only,paper:2606.13790 -> paper:1810.12879,backward_direct_citation,0.2,0.2,R0164
4,2003.06413,Equivariant flow-based sampling for lattice gauge theory,2020,Normalizing flows,yes,0.2,citation_only,paper:2606.13790 -> paper:2003.06413,backward_direct_citation,0.2,0.2,R0166
5,2007.07115,Estimation of Thermodynamic Observables in Lattice Field Theories with Deep Generative Models,2021,Flow observables,yes,0.2,citation_only,paper:2606.13790 -> paper:2007.07115,backward_direct_citation,0.2,0.2,R0167
6,2106.05934,Flow-based sampling for fermionic lattice field theories,2021,Normalizing flows,yes,0.2,citation_only,paper:2606.13790 -> paper:2106.05934,backward_direct_citation,0.2,0.2,R0168
7,2110.02673,Scaling Up Machine Learning For Quantum Field Theory with Equivariant Continuous Flows,2021,Scaling and architecture,yes,0.2,citation_only,paper:2606.13790 -> paper:2110.02673,backward_direct_citation,0.2,0.2,R0170
8,2202.11712,Flow-based sampling in the lattice Schwinger model at criticality,2022,Fermion and gauge applications,yes,0.2,citation_only,paper:2606.13790 -> paper:2202.11712,backward_direct_citation,0.2,0.2,R0173
9,2111.15141,Path Integral Sampler: a stochastic control approach for sampling,2022,Path-space control,yes,0.2,citation_only,paper:2606.13790 -> paper:2111.15141,backward_direct_citation,0.2,0.2,R0171
10,2201.08862,Stochastic normalizing flows as non-equilibrium transformations,2022,Stochastic flows,yes,0.2,citation_only,paper:2606.13790 -> paper:2201.08862,backward_direct_citation,0.2,0.2,R0172
11,2210.03139,Stochastic normalizing flows for lattice field theory,2022,Stochastic flows,yes,0.2,citation_only,paper:2606.13790 -> paper:2210.03139,backward_direct_citation,0.2,0.2,R0175
12,2302.13834,Denoising Diffusion Samplers,2023,Path-space control,yes,0.2,citation_only,paper:2606.13790 -> paper:2302.13834,backward_direct_citation,0.2,0.2,R0177
13,2309.17082,Diffusion Models as Stochastic Quantization in Lattice Field Theory,2023,Diffusion,yes,0.2,citation_only,paper:2606.13790 -> paper:2309.17082,backward_direct_citation,0.2,0.2,R0179
14,2211.03470,Fourier-flow model generating Feynman paths,2023,Adjacent path generation,yes,0.2,citation_only,paper:2606.13790 -> paper:2211.03470,backward_direct_citation,0.2,0.2,R0176
15,2207.00283,Learning lattice quantum field theories with equivariant continuous flows,2023,Scaling and transfer,yes,0.2,citation_only,paper:2606.13790 -> paper:2207.00283,backward_direct_citation,0.2,0.2,R0174
16,2410.02711,NETS: A Non-Equilibrium Transport Sampler,2024,Path-space control,yes,0.2,citation_only,paper:2606.13790 -> paper:2410.02711,backward_direct_citation,0.2,0.2,R0181
