paper_id,arxiv_id,title,authors,year,family,broad_cluster,source_relation,problem,problem_anchor,method,method_anchor,correction_exactness,result,result_anchor,limitation,limitation_anchor,review_status,source_url,discovered_primary_url,pdf_path,pdf_pages,source_pdf_sha256,selection_reason,dijkstra_rank,dijkstra_distance
P001,2606.13790,Stochastic Path Sampler For Lattice Field Theory,Shiyang Chen; Moxian Qian; Gert Aarts; Biagio Lucini; Kai Zhou,2026,root_sps,SPS,root,"Data-free sampling of an unnormalized lattice target near criticality, where ordinary chains develop long autocorrelation times.",PDF p.1 abstract,Learn paired forward and auxiliary backward Langevin paths by minimizing a path-space variational free energy / entropy-production upper bound.,PDF pp.4-8 Sec. 2,Independent path proposals are corrected with an extended-space independence Metropolis-Hastings step; uncorrected SPS is not treated as exact.,Corrected SPS observables agree with HMC in the tested 2D phi4 systems and show shorter autocorrelation near the pseudocritical region.,"PDF pp.12-18 Sec. 3, Tables 1-4","Uncorrected tails and multimodal regions deviate; finite network capacity, terminal diffusion and support coverage remain practical limits, and the reported timing is hardware/setup specific.",PDF pp.12-13 Secs. 3.1-3.2; pp.19-21 discussion,rechecked_current_text_same_pdf_sha256,https://arxiv.org/abs/2606.13790,http://arxiv.org/abs/2606.13790v1,sources/pdfs/2606.13790.pdf,33,cc1be38bb8a641a8118606fda7b5d375170720e3e88a9f0c35562f335f2bda17,root,1,0.0
P002,2111.15141,Path Integral Sampler: a stochastic control approach for sampling,"Zhang, Qinsheng and Chen, Yongxin",2022,path_space_control,Path-space control,direct_bibliography,Construct an efficient sampler for an unnormalized target by controlling a stochastic path rather than fitting a terminal density alone.,PDF p.1 abstract,Formulate sampling as a Schrodinger-bridge / stochastic optimal-control problem and learn a neural control for a reference diffusion.,PDF pp.4-8 method,Girsanov path likelihood ratios provide importance weights; weighted estimates retain the path-measure correction.,"The learned path sampler is competitive with the reported MCMC, SMC and normalizing-flow baselines on its benchmark suite.",PDF pp.9-18 experiments,"Training overhead, time discretization and a suboptimal learned control can produce weight variance and residual bias if correction is omitted.",PDF pp.19-20 discussion,rechecked_current_text_same_pdf_sha256,https://arxiv.org/abs/2111.15141,https://arxiv.org/abs/2111.15141,sources/pdfs/2111.15141.pdf,26,e0bb88baf8cf19b54d29195a6765aaf113de42fa7b5aab2d11658fd959175ac8,dijkstra_method_quota:path_space,353,1.860544
P003,2302.13834,Denoising Diffusion Samplers,"Vargas, Francisco and Grathwohl, Will and Doucet, Arnaud",2023,path_space_diffusion,Path-space control,direct_bibliography,Sample unnormalized targets with a diffusion process without requiring target-distributed training data.,PDF p.1 abstract,Train a denoising diffusion sampler through a path-space objective and construct tractable forward/reverse trajectory densities.,PDF pp.4-8 method,Trajectory importance weights correct the learned proposal under the stated discretization; estimator quality depends on weight variance.,The method performs strongly on the paper's multimodal and Bayesian benchmarks relative to selected diffusion and SMC baselines.,PDF pp.10-18 experiments,"Optimization and diffusion discretization are sensitive, and the paper identifies smoothing/objective design as open improvements.","PDF final discussion, around pp.18-20",rechecked_current_text_same_pdf_sha256,https://arxiv.org/abs/2302.13834,https://arxiv.org/abs/2302.13834,sources/pdfs/2302.13834.pdf,30,a52b6fd8d6c19873d22a115d6eb050e78da70464dc2e25e4464cf8c3b0063321,dijkstra_method_quota:path_space,356,1.872139
P004,2307.01050,Transport meets Variational Inference: Controlled Monte Carlo Diffusions,"Vargas, Francisco and Padhy, Shreyas and Blessing, Denis and N \""u sken, Nikolas",2024,path_space_diffusion,Path-space control,direct_bibliography,Reduce the variance and instability of Monte Carlo diffusion samplers built from a fixed annealing process.,PDF p.1 abstract,Jointly adapt forward and backward controlled diffusions using path-space divergences linked to transport and nonequilibrium identities.,PDF pp.3-8 method,Path likelihood ratios / importance weights supply the correction; the learned controls target lower-variance paths.,Controlled Monte Carlo Diffusions improve the reported sampling metrics across the benchmark suite.,PDF pp.9-15 results,"Performance still depends on annealing schedule, divergence choice, numerical SDE solution and learned-control quality.",PDF final discussion,rechecked_current_text_same_pdf_sha256,https://arxiv.org/abs/2307.01050,https://arxiv.org/abs/2307.01050,sources/pdfs/2307.01050.pdf,43,53ccf9eacc9476d81b885750959fb9792bc68f37d1f468c2d8d3f0013645f1a1,dijkstra_method_quota:path_space,369,1.905034
P005,2410.02711,NETS: A Non-Equilibrium Transport Sampler,"Albergo, Michael S. and Vanden-Eijnden, Eric",2024,nonequilibrium_transport,Path-space control,direct_bibliography,Annealed importance sampling can have high work/weight variance when the fixed protocol transports poorly between prior and target.,PDF p.1 abstract,NETS augments nonequilibrium Langevin transport with a learned drift chosen to reduce estimator variance while retaining the nonequilibrium identity.,PDF pp.3-7 method,"Jarzynski/AIS-style weights remain in the estimator, so the learned drift improves efficiency rather than replacing correction.",The learned transport improves effective sample size on the reported molecular and lattice phi4 examples.,PDF results section,"Drift capacity, protocol, diffusion strength, training cost and remaining weight variance determine practical gains.",PDF final discussion,rechecked_current_text_same_pdf_sha256,https://arxiv.org/abs/2410.02711,https://arxiv.org/abs/2410.02711,sources/pdfs/2410.02711.pdf,31,3f115239f2ca5de2d7c560e21ae84e33f20a0979e515c875fb6ceb3406af3a55,dijkstra_method_quota:path_space,371,1.915425
P006,2210.03139,Stochastic normalizing flows for lattice field theory,Michele Caselle; Elia Cellini; Alessandro Nada; Marco Panero,2022,stochastic_flow_foundation,Stochastic flows,direct_bibliography,Improve lattice-field sampling by combining learned invertible maps with robust Monte Carlo transitions.,PDF p.1 abstract,Interleave normalizing-flow layers and Monte Carlo updates to form a stochastic normalizing flow for 2D phi4 theory.,PDF pp.2-5 method,Jarzynski/path weights correct the stochastic transformation.,The short study reports improved sampling efficiency over its purely learned or stochastic components.,PDF results section,"The paper is a compact proceedings report in a low-dimensional scalar benchmark, so broad scaling claims are unsupported.",PDF final section,rechecked_current_text_same_pdf_sha256,https://arxiv.org/abs/2210.03139,http://arxiv.org/abs/2210.03139v1,sources/pdfs/2210.03139.pdf,9,6e55973206bb8030e21bdd951bc005c64dbabf2698a4491f1d21e5ca29909cc8,dijkstra_method_quota:stochastic_flow,25,1.177259
P007,2201.08862,Stochastic normalizing flows as non-equilibrium transformations,Michele Caselle; Elia Cellini; Alessandro Nada; Marco Panero,2022,stochastic_flow_foundation,Stochastic flows,direct_bibliography,"Normalizing flows can be hard to train globally, while nonequilibrium transformations can require long protocols.",PDF p.1 abstract,Unify invertible flow layers and stochastic nonequilibrium transitions within a path-probability/Jarzynski framework.,PDF pp.2-8 method,Nonequilibrium work weights preserve free-energy and expectation-value identities.,Hybrid stochastic normalizing flows improve free-energy estimation and sampling efficiency in the reported lattice examples.,PDF results sections,"Efficiency trades off network training, protocol length, stochastic steps and residual work variance.",PDF pp.20-22 conclusions,rechecked_current_text_same_pdf_sha256,https://arxiv.org/abs/2201.08862,http://arxiv.org/abs/2201.08862v3,sources/pdfs/2201.08862.pdf,32,798759d54c5256ac75eb188fac679c96d0af51979894b85d0c72c7db03817858,dijkstra_method_quota:stochastic_flow,165,1.648293
P008,2309.14983,Sampling Nambu-Goto theory using Normalizing Flows,Michele Caselle; Elia Cellini; Alessandro Nada,2023,stochastic_flow_application,Stochastic flows,adjacent_method,Obtain a scalable numerical sampler for lattice Nambu-Goto effective string theory where continuous normalizing flows scale poorly.,PDF pp.1-2,Use a physics-informed stochastic normalizing flow that interleaves learned maps with nonequilibrium stochastic updates and evaluates nonequilibrium work.,PDF pp.2-4,Jarzynski work weights provide the nonequilibrium correction identity; finite effective sample size controls estimator variance.,The proof-of-concept reproduces known partition-function behavior and reports agreement with a conjectured string-width coefficient over 314 parameter combinations.,PDF pp.4-6,This proceedings study addresses a specific effective-string regime; it does not establish general lattice-field or QCD scaling.,PDF pp.5-6 conclusion,new_full_text_review_current_run,https://arxiv.org/abs/2309.14983,http://arxiv.org/abs/2309.14983v1,sources/pdfs/2309.14983.pdf,7,7b29ef81547ae08c382dce6572648f42abba443201aca2ffbf8d855cb5143644,dijkstra_method_quota:stochastic_flow,171,1.678364
P009,1904.12072,Flow-based generative models for Markov chain Monte Carlo in lattice field theory,"Albergo, M. S. and Kanwar, G. and Shanahan, P. E.",2019,flow_foundation,Normalizing flows,direct_bibliography,Critical slowing makes conventional lattice MCMC expensive near phase transitions.,PDF p.1 abstract,Train a normalizing flow without target samples and use independent flow proposals in a Metropolis-Hastings chain.,PDF pp.2-6 method,Metropolis-Hastings guarantees asymptotic convergence if support/ergodicity conditions hold.,"In 2D phi4, trained flow proposals reproduce observables and can eliminate sampling-stage critical slowing at fixed acceptance.",PDF results and pp.9-10 summary,"Training took substantial GPU time in this proof of principle; architecture scaling, memory and extension to QCD were not established.",PDF pp.9-10 summary,rechecked_current_text_same_pdf_sha256,https://arxiv.org/abs/1904.12072,https://arxiv.org/abs/1904.12072,sources/pdfs/1904.12072.pdf,13,61749019a775a8141842ce23b4dce5678a3f712f311dfcc379747b943ccbe07d,dijkstra_method_quota:flow,24,1.166704
P010,2604.10209,Scalable Generative Sampling and Multilevel Estimation for Lattice Field Theories Near Criticality,A. Singha; J. Kauffmann; E. Cellini; K. Jansen; S. Nakajima,2026,multiscale_flow,Scaling / multiscale,closure,Overcome critical slowing and poor large-volume scaling by representing long- and short-distance modes separately.,PDF p.1 abstract,Factor the target coarse-to-fine; use conditional Gaussian mixtures and masked continuous normalizing flows while preserving coarse sites exactly.,PDF pp.4-7 method,Importance sampling corrects the learned density; exact restriction enables an unbiased MLMC estimator.,"On critical 2D phi4, the method reports much lower autocorrelation than HMC, high IS efficiency, consistent observables and MLMC variance reduction.",PDF pp.7-9 results/conclusion,"ESS still falls at the largest volumes, fine-level quality limits MLMC gains, and extension to group-valued gauge theories is open.",PDF p.9 conclusion,rechecked_current_text_same_pdf_sha256,https://arxiv.org/abs/2604.10209,http://arxiv.org/abs/2604.10209v1,sources/pdfs/2604.10209.pdf,15,f63310ecd3fc85390956cdbd6dac9f8676cfbc5c7060411e2fb24b9d76f7dfe1,dijkstra_method_quota:flow,26,1.177259
